lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,lr-AdamW/pg7,lr-AdamW/pg8,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,,,,,,,
,,,,,,,,3011,0.4906703233718872,0.8646629026901361,0.8402702778222372,0,,,
,,,,,,,,3011,,,,0,0.7473110556602478,0.7925452432342687,0.6965243925302188
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,3012,,,,,,,
,,,,,,,,6023,0.4533631205558777,0.8909000332115576,0.8794124100738578,1,,,
,,,,,,,,6023,,,,1,0.39894574880599976,0.8844429686202889,0.8154778932470996
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,6024,,,,,,,
,,,,,,,,9035,0.4338906407356262,0.8987047492527399,0.8867296737835274,2,,,
,,,,,,,,9035,,,,2,0.2825728952884674,0.9150340361945875,0.8623729314945675
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,9036,,,,,,,
,,,,,,,,12047,0.4867275059223175,0.899368980405181,0.8846373422820778,3,,,
,,,,,,,,12047,,,,3,0.21313290297985077,0.9316370579445459,0.8882195073435136
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,12048,,,,,,,
,,,,,,,,15059,0.49660348892211914,0.9015277316506144,0.8946593909156147,4,,,
,,,,,,,,15059,,,,4,0.16098535060882568,0.9479287730366927,0.9135577547514471
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,15060,,,,,,,
,,,,,,,,18071,0.49652954936027527,0.9066755230820326,0.8985578714680639,5,,,
,,,,,,,,18071,,,,5,0.13179832696914673,0.956230283911672,0.9271268561845687
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,18072,,,,,,,
,,,,,,,,21083,0.49505603313446045,0.906343407505812,0.8990879511506651,6,,,
,,,,,,,,21083,,,,6,0.10487677156925201,0.9650506392163374,0.9415423642477024
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,21084,,,,,,,
,,,,,,,,24095,0.6646506190299988,0.9010295582862836,0.8875635218206667,7,,,
,,,,,,,,24095,,,,7,0.08473300188779831,0.9719201394653827,0.9527483406704076
2e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,24096,,,,,,,
,,,,,,,,27107,0.5915091633796692,0.9076718698106941,0.8975707710699918,8,,,
,,,,,,,,27107,,,,8,0.07308273762464523,0.9765482317781836,0.960260843134821
