lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0.002,0,,,,,,,
,,,,,3011,0.4186684787273407,0.8777814679508469,0.8677864708545,0,,,
,,,,,3011,,,,0,0.77090984582901,0.7794496098289889,0.6793491788545689
2e-05,0.002,0.002,0.002,0.002,3012,,,,,,,
,,,,,6023,0.4156087040901184,0.8879109930255729,0.8712844764767448,1,,,
,,,,,6023,,,,1,0.3627189099788666,0.8895691515855886,0.82372182633034
2e-05,0.002,0.002,0.002,0.002,6024,,,,,,,
,,,,,9035,0.4227408468723297,0.8885752241780139,0.8753494759706171,2,,,
,,,,,9035,,,,2,0.23590511083602905,0.9237921301676906,0.8763811268364582
2e-05,0.002,0.002,0.002,0.002,9036,,,,,,,
,,,,,12047,0.4429605007171631,0.8942211889737629,0.8842934203888584,3,,,
,,,,,12047,,,,3,0.16645991802215576,0.9439440478167026,0.9081311936541232
2e-05,0.002,0.002,0.002,0.002,12048,,,,,,,
,,,,,15059,0.45183125138282776,0.8985386914646297,0.8865926733663693,4,,,
,,,,,15059,,,,4,0.12269490212202072,0.9594056118213515,0.9328796619532067
2e-05,0.002,0.002,0.002,0.002,15060,,,,,,,
,,,,,18071,0.4904482066631317,0.8968781135835271,0.8820841293117995,5,,,
,,,,,18071,,,,5,0.09337875247001648,0.9687240577785157,0.9472986927536091
2e-05,0.002,0.002,0.002,0.002,18072,,,,,,,
,,,,,21083,0.5132392644882202,0.9006974427100631,0.8905583636113478,6,,,
,,,,,21083,,,,6,0.07871586084365845,0.9746596380541258,0.9569593300636754
2e-05,0.002,0.002,0.002,0.002,21084,,,,,,,
,,,,,24095,0.5162403583526611,0.9028561939554965,0.8936694596147722,7,,,
,,,,,24095,,,,7,0.05967611074447632,0.9803461730034866,0.9669110187842512
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,24096,,,,,,,
,,,,,27107,0.5370995402336121,0.9065094652939223,0.896952283447476,8,,,
,,,,,27107,,,,8,0.01818672940135002,0.993836128175328,0.9894707545238822
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,,30119,0.559092104434967,0.9075058120225838,0.898265639145522,9,,,
,,,,,30119,,,,9,0.008808199316263199,0.9974680391831313,0.9955805984466939
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,,33131,0.5744040012359619,0.9091663899036865,0.9006753014062784,10,,,
,,,,,33131,,,,10,0.005830875597894192,0.9986302507056284,0.9976141721285339
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,,36143,0.5836264491081238,0.9080039853869146,0.8996281397995096,11,,,
,,,,,36143,,,,11,0.004925230517983437,0.9989000498090652,0.9981163740054657
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,,39155,0.5820637941360474,0.9096645632680173,0.9015043485857784,12,,,
,,,,,39155,,,,12,0.0040662456303834915,0.9990038186950025,0.9982400796945045
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,,42167,0.5888769030570984,0.9096645632680173,0.9023396202569881,13,,,
,,,,,42167,,,,13,0.0032864396926015615,0.9992943715756267,0.9988866751526557
2.0000000000000004e-07,2e-05,2e-05,2e-05,2e-05,42168,,,,,,,
,,,,,45179,0.5940567851066589,0.9096645632680173,0.901814892131779,14,,,
,,,,,45179,,,,14,0.0024374891072511673,0.999626432010626,0.9994049266172793
2.0000000000000004e-07,2e-05,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,,48191,0.5964183211326599,0.9098306210561276,0.9014876275690481,15,,,
,,,,,48191,,,,15,0.0025731681380420923,0.9994811555703138,0.9991262330379048
2.0000000000000004e-07,2e-05,2e-05,2e-05,2e-05,48192,,,,,,,
,,,,,51203,0.5960637927055359,0.9103287944204583,0.9022041919586966,16,,,
,,,,,51203,,,,16,0.0026406736578792334,0.9993773866843766,0.9989074948148495
2.0000000000000004e-07,2e-05,2e-05,2e-05,2e-05,51204,,,,,,,
,,,,,54215,0.596870481967926,0.9103287944204583,0.9020345709250388,17,,,
,,,,,54215,,,,17,0.002269539050757885,0.999584924456251,0.9993526139217656
2.0000000000000004e-07,2e-05,2e-05,2e-05,2e-05,54216,,,,,,,
,,,,,57227,0.5989773869514465,0.9099966788442378,0.9017991572762707,18,,,
,,,,,57227,,,,18,0.0027928894851356745,0.9994811555703138,0.9990972436348493
2.0000000000000004e-07,2e-05,2e-05,2e-05,2e-05,57228,,,,,,,
,,,,,60239,0.5982604026794434,0.9103287944204583,0.9022054660652555,19,,,
,,,,,60239,,,,19,0.002423733239993453,0.9994188942387514,0.9989972301943078
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,60240,,,,,,,
,,,,,63251,0.5985279083251953,0.9103287944204583,0.9022054660652555,20,,,
,,,,,63251,,,,20,0.0029044500552117825,0.9992943715756267,0.9988467751924497
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,63252,,,,,,,
,,,,,66263,0.5986683964729309,0.9103287944204583,0.9022028032653582,21,,,
,,,,,66263,,,,21,0.002365273889154196,0.9995226631246887,0.9991962029152796
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,66264,,,,,,,
,,,,,69275,0.5985977649688721,0.9103287944204583,0.9022054660652555,22,,,
,,,,,69275,,,,22,0.0024879202246665955,0.9995019093475013,0.9991107632382744
