lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0.002,0,,,,,,,
,,,,,3011,0.4426704943180084,0.8767851212221853,0.8575511425406493,0,,,
,,,,,3011,,,,0,0.6536617875099182,0.8165421336654214,0.7682579216825988
2e-05,0.002,0.002,0.002,0.002,3012,,,,,,,
,,,,,6023,0.5031919479370117,0.8535370308867486,0.8470728151341737,1,,,
,,,,,6023,,,,1,0.34964117407798767,0.8966168534661685,0.8654351736543443
2e-05,0.002,0.002,0.002,0.002,6024,,,,,,,
,,,,,9035,0.4320510923862457,0.8890733975423447,0.8770272650673138,2,,,
,,,,,9035,,,,2,0.24165168404579163,0.9236197592361975,0.9000830220008149
2e-05,0.002,0.002,0.002,0.002,9036,,,,,,,
,,,,,12047,0.4156440794467926,0.8972102291597476,0.8867324902716005,3,,,
,,,,,12047,,,,3,0.18549706041812897,0.9392901618929016,0.920409575204081
2e-05,0.002,0.002,0.002,0.002,12048,,,,,,,
,,,,,15059,0.4536842107772827,0.8968781135835271,0.8813434466595623,4,,,
,,,,,15059,,,,4,0.13128012418746948,0.9561436280614363,0.9423550574235351
2e-05,0.002,0.002,0.002,0.002,15060,,,,,,,
,,,,,18071,0.4186663329601288,0.9058452341414812,0.8958439728035708,5,,,
,,,,,18071,,,,5,0.1087978184223175,0.9630967206309672,0.9513214335131995
2e-05,0.002,0.002,0.002,0.002,18072,,,,,,,
,,,,,21083,0.47830963134765625,0.9046828296247094,0.8965103725490602,6,,,
,,,,,21083,,,,6,0.08734860271215439,0.9700705687007057,0.9604676906046653
2e-05,0.002,0.002,0.002,0.002,21084,,,,,,,
,,,,,24095,0.5231378078460693,0.8992029226170707,0.8872398044026747,7,,,
,,,,,24095,,,,7,0.07142914831638336,0.9759028642590286,0.9681195516811895
2e-05,0.002,0.002,0.002,0.002,24096,,,,,,,
,,,,,27107,0.5023282170295715,0.9048488874128197,0.8928297084903042,8,,,
,,,,,27107,,,,8,0.058447472751140594,0.9804068078040681,0.9739587657395811
2e-05,0.002,0.002,0.002,0.002,27108,,,,,,,
,,,,,30119,0.5301520228385925,0.9041846562603786,0.8931341079052274,9,,,
,,,,,30119,,,,9,0.045467592775821686,0.9856371938563719,0.9809049398090429
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,,33131,0.47136691212654114,0.9151444702756559,0.9077820573386924,10,,,
,,,,,33131,,,,10,0.01722383312880993,0.9940846824408468,0.9921129099211279
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,,36143,0.4799521267414093,0.917137163732979,0.9093976067005279,11,,,
,,,,,36143,,,,11,0.008757290430366993,0.997343295973433,0.9964577279645757
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,,39155,0.489968478679657,0.9156426436399867,0.9078752464873064,12,,,
,,,,,39155,,,,12,0.006114157382398844,0.9986093814860938,0.9981458419814576
2.0000000000000003e-06,0.0002,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,,42167,0.5030364394187927,0.9159747592162072,0.9090596147678652,13,,,
,,,,,42167,,,,13,0.00536959245800972,0.9985056039850561,0.9980074719800741
