lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.002,0,,,,,,,
,3011,0.9772863388061523,0.7077382929259383,0.6853017913974213,0,,,
,3011,,,,0,1.101358413696289,0.6753279096795617,0.5496831788537762
0.002,3012,,,,,,,
,6023,0.9719528555870056,0.7193623380936566,0.6996345415741075,1,,,
,6023,,,,1,0.8407061100006104,0.7433172837456417,0.6264829194201229
0.002,6024,,,,,,,
,9035,0.9910356998443604,0.7233477250083029,0.7039228212174677,2,,,
,9035,,,,2,0.7049366235733032,0.7756931761580608,0.6679105412555285
0.002,9036,,,,,,,
,12047,1.0302879810333252,0.7173696446363335,0.6984046943756285,3,,,
,12047,,,,3,0.5866045951843262,0.8110161049310974,0.7133172587135158
0.002,12048,,,,,,,
,15059,1.1311622858047485,0.7065758884091664,0.6910698553458251,4,,,
,15059,,,,4,0.48466956615448,0.840777021417898,0.7543857513421846
0.002,15060,,,,,,,
,18071,1.2014033794403076,0.7052474261042843,0.6859026243098764,5,,,
,18071,,,,5,0.40690773725509644,0.8653079860534617,0.7885715777923011
0.002,18072,,,,,,,
,21083,1.2697707414627075,0.7064098306210561,0.6886522352307258,6,,,
,21083,,,,6,0.3392072021961212,0.8856259339199735,0.818167831080058
0.002,21084,,,,,,,
,24095,1.296325445175171,0.7077382929259383,0.6934426548370602,7,,,
,24095,,,,7,0.29457470774650574,0.8993649344180641,0.8386259526643955
0.0002,24096,,,,,,,
,27107,1.2755131721496582,0.7251743606775157,0.7058290223648864,8,,,
,27107,,,,8,0.1585206240415573,0.9502531960816869,0.9171627394696061
0.0002,27108,,,,,,,
,30119,1.2949085235595703,0.7233477250083029,0.7051838210604998,9,,,
,30119,,,,9,0.11708098649978638,0.9652996845425867,0.9420665170979979
0.0002,30120,,,,,,,
,33131,1.3080352544784546,0.7223513782796414,0.7031776489839481,10,,,
,33131,,,,10,0.09706823527812958,0.9728540594388179,0.954261977914222
0.0002,33132,,,,,,,
,36143,1.3138198852539062,0.7248422451012952,0.7063001053905197,11,,,
,36143,,,,11,0.08708330988883972,0.9754690353644363,0.9582425737414901
0.0002,36144,,,,,,,
,39155,1.3222007751464844,0.7268349385586184,0.7076429534580204,12,,,
,39155,,,,12,0.0780353769659996,0.9799310974597377,0.9659674049301271
0.0002,39156,,,,,,,
,42167,1.329185128211975,0.7255064762537363,0.7059202157403824,13,,,
,42167,,,,13,0.0695478618144989,0.9826705960484808,0.9707246230718717
2e-05,42168,,,,,,,
,45179,1.3291711807250977,0.7233477250083029,0.7043327814547135,14,,,
,45179,,,,14,0.06439600139856339,0.9843516520006641,0.9735645084495275
2e-05,45180,,,,,,,
,48191,1.331031084060669,0.7248422451012952,0.7056719151201948,15,,,
,48191,,,,15,0.06334004551172256,0.9852648181969118,0.9752872630226073
2e-05,48192,,,,,,,
,51203,1.3319755792617798,0.724011956160744,0.7047790684743104,16,,,
,51203,,,,16,0.06211872026324272,0.9856798937406608,0.9757344772727445
2e-05,51204,,,,,,,
,54215,1.3321605920791626,0.7233477250083029,0.7042805797951773,17,,,
,54215,,,,17,0.06112179160118103,0.9857214012950357,0.9757881428070668
2e-05,54216,,,,,,,
,57227,1.3330307006835938,0.7241780139488542,0.7051464813882529,18,,,
,57227,,,,18,0.061375778168439865,0.9858874315125353,0.9760575378157945
2e-05,57228,,,,,,,
,60239,1.3341656923294067,0.7245101295250748,0.70554228190968,19,,,
,60239,,,,19,0.06118439510464668,0.9853893408600365,0.975504817511705
2.0000000000000003e-06,60240,,,,,,,
,63251,1.3343538045883179,0.7245101295250748,0.7054549233517782,20,,,
,63251,,,,20,0.05933697521686554,0.9869251203719077,0.9777780083752985
2.0000000000000003e-06,63252,,,,,,,
,66263,1.334601640701294,0.7245101295250748,0.705446746786346,21,,,
,66263,,,,21,0.059516094624996185,0.9860327079528474,0.9764844594837916
2.0000000000000003e-06,66264,,,,,,,
,69275,1.3348642587661743,0.724676187313185,0.7056281184961989,22,,,
,69275,,,,22,0.059837087988853455,0.9864062759422215,0.9771341207909329
2.0000000000000003e-06,69276,,,,,,,
,72287,1.335137963294983,0.7245101295250748,0.7055035779211533,23,,,
,72287,,,,23,0.059265781193971634,0.9863232608334717,0.9766388302512291
2.0000000000000003e-06,72288,,,,,,,
,75299,1.3353192806243896,0.724676187313185,0.7056281184961989,24,,,
,75299,,,,24,0.06059401482343674,0.9861572306159722,0.9762603274748349
2.0000000000000003e-06,75300,,,,,,,
,78311,1.3354973793029785,0.7243440717369645,0.7053616634877203,25,,,
,78311,,,,25,0.06132729724049568,0.9857421550722232,0.9757654388336738
2.0000000000000004e-07,78312,,,,,,,
,81323,1.335531234741211,0.7243440717369645,0.7053616634877203,26,,,
,81323,,,,26,0.05938578024506569,0.9862194919475344,0.9764891373192861
2.0000000000000004e-07,81324,,,,,,,
,84335,1.3355365991592407,0.7245101295250748,0.7054955679600455,27,,,
,84335,,,,27,0.05989720672369003,0.985783662626598,0.9757777110143001
