lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.002,0,,,,,,,
,3011,0.9711827039718628,0.7064098306210561,0.6878944096781393,0,,,
,3011,,,,0,1.1003998517990112,0.6761373069898722,0.5494846405602858
0.002,3012,,,,,,,
,6023,0.9716609716415405,0.7143806044503487,0.6910464772852661,1,,,
,6023,,,,1,0.8449172377586365,0.7406815540428358,0.6243891012338856
0.002,6024,,,,,,,
,9035,0.9795581698417664,0.7198605114579874,0.7037579125786738,2,,,
,9035,,,,2,0.7033129930496216,0.7778723227627429,0.6699194949345073
0.002,9036,,,,,,,
,12047,1.0743532180786133,0.7089006974427101,0.6896710836377696,3,,,
,12047,,,,3,0.5810623168945312,0.8142744479495269,0.7185437574411471
0.002,12048,,,,,,,
,15059,1.09852135181427,0.7213550315509797,0.7021575075476333,4,,,
,15059,,,,4,0.4765987992286682,0.8421467707122696,0.7571085038731128
0.002,15060,,,,,,,
,18071,1.207267165184021,0.7040850215875124,0.6857307784107908,5,,,
,18071,,,,5,0.3990691900253296,0.8667607504565831,0.7925216963562232
0.002,18072,,,,,,,
,21083,1.2964009046554565,0.7152108933909,0.694605743349952,6,,,
,21083,,,,6,0.3374001979827881,0.8864768387846588,0.8193993793278634
0.0002,21084,,,,,,,
,24095,1.2397524118423462,0.728495516439721,0.7087054543199751,7,,,
,24095,,,,7,0.1780245006084442,0.9431138967292048,0.9069978759015968
0.0002,24096,,,,,,,
,27107,1.2543165683746338,0.7324809033543673,0.7129766989947127,8,,,
,27107,,,,8,0.13398075103759766,0.9588867673916652,0.930805081357485
0.0002,27108,,,,,,,
,30119,1.2639687061309814,0.7311524410494852,0.7110872869101498,9,,,
,30119,,,,9,0.11388111859560013,0.9662751120703968,0.9435830795505549
0.0002,30120,,,,,,,
,33131,1.2731690406799316,0.7304882098970442,0.7115921273461893,10,,,
,33131,,,,10,0.10127965360879898,0.9721691847916321,0.9527185408817682
0.0002,33132,,,,,,,
,36143,1.2819417715072632,0.7324809033543673,0.7129341881451748,11,,,
,36143,,,,11,0.09279824048280716,0.974991698489125,0.9580335392961356
0.0002,36144,,,,,,,
,39155,1.2807207107543945,0.732314845566257,0.712777534698085,12,,,
,39155,,,,12,0.08543197065591812,0.9775651668603685,0.9627704879012342
2e-05,39156,,,,,,,
,42167,1.2813594341278076,0.7344735968116904,0.7144739000092787,13,,,
,42167,,,,13,0.07472977787256241,0.981985721401295,0.9694808700686143
2e-05,42168,,,,,,,
,45179,1.2826796770095825,0.7338093656592494,0.7139859040112041,14,,,
,45179,,,,14,0.0767139419913292,0.9807197409928607,0.9670539892493206
2e-05,45180,,,,,,,
,48191,1.2839463949203491,0.7339754234473597,0.7141441125230781,15,,,
,48191,,,,15,0.07486925274133682,0.9813423543084842,0.9686234316074059
2e-05,48192,,,,,,,
,51203,1.2857030630111694,0.7338093656592494,0.7141275355934108,16,,,
,51203,,,,16,0.07208479195833206,0.9824423044994189,0.9700313173399645
2e-05,51204,,,,,,,
,54215,1.2872676849365234,0.7333111922949186,0.7136084536058492,17,,,
,54215,,,,17,0.0724690705537796,0.9831479329237921,0.9715889245546346
2e-05,54216,,,,,,,
,57227,1.2879084348678589,0.7334772500830289,0.7136710265903616,18,,,
,57227,,,,18,0.07308970391750336,0.9814046156400464,0.9686832815477141
2.0000000000000003e-06,57228,,,,,,,
,60239,1.2881686687469482,0.7338093656592494,0.7139519084220206,19,,,
,60239,,,,19,0.06982088834047318,0.983189440478167,0.9713430043738828
2.0000000000000003e-06,60240,,,,,,,
,63251,1.2883257865905762,0.7338093656592494,0.7139519084220206,20,,,
,63251,,,,20,0.07104954868555069,0.9828781338203553,0.97106038624426
2.0000000000000003e-06,63252,,,,,,,
,66263,1.288495659828186,0.7336433078711392,0.7138253155347463,21,,,
,66263,,,,21,0.07045615464448929,0.9831271791466046,0.9714471466081921
2.0000000000000003e-06,66264,,,,,,,
,69275,1.288602352142334,0.7333111922949186,0.7135623989443353,22,,,
,69275,,,,22,0.07028599083423615,0.9838120537937904,0.9722324322021284
2.0000000000000003e-06,69276,,,,,,,
,72287,1.2887481451034546,0.7336433078711392,0.7138279166775178,23,,,
,72287,,,,23,0.0692964568734169,0.984019591565665,0.9730839454050453
2.0000000000000003e-06,72288,,,,,,,
,75299,1.2889777421951294,0.7336433078711392,0.7138279166775178,24,,,
,75299,,,,24,0.06898458302021027,0.9835215009131661,0.9717140335943215
2.0000000000000004e-07,75300,,,,,,,
,78311,1.2889820337295532,0.7336433078711392,0.7138279166775178,25,,,
,78311,,,,25,0.07033082097768784,0.9831686867009796,0.9715257641922058
2.0000000000000004e-07,78312,,,,,,,
,81323,1.2890169620513916,0.7336433078711392,0.7138279166775178,26,,,
,81323,,,,26,0.07053283601999283,0.9835215009131661,0.9723195299851423
2.0000000000000004e-07,81324,,,,,,,
,84335,1.2890241146087646,0.7336433078711392,0.7138279166775178,27,,,
,84335,,,,27,0.06992122530937195,0.9836460235762909,0.9728060284701452
