lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.002,0,,,,,,,
,3011,1.0158363580703735,0.7025905014945201,0.6791134781377232,0,,,
,3011,,,,0,1.4269379377365112,0.5904864685372738,0.4535804717680182
0.002,3012,,,,,,,
,6023,0.9958609938621521,0.7133842577216871,0.6847510629101219,1,,,
,6023,,,,1,1.2576775550842285,0.6332600033206044,0.49926224851227174
0.002,6024,,,,,,,
,9035,0.9978411197662354,0.7185320491531053,0.6908616475070256,2,,,
,9035,,,,2,1.1845217943191528,0.657375892412419,0.5250358133346035
0.002,9036,,,,,,,
,12047,1.0547170639038086,0.7178678180006642,0.6859795465522861,3,,,
,12047,,,,3,1.148081660270691,0.6659264486136477,0.5350496125379386
0.002,12048,,,,,,,
,15059,1.005147933959961,0.7142145466622385,0.6919792455018019,4,,,
,15059,,,,4,1.1223061084747314,0.6719865515523825,0.5412285693108683
0.002,15060,,,,,,,
,18071,0.9838317632675171,0.7216871471272003,0.6979409812951073,5,,,
,18071,,,,5,1.0965174436569214,0.6810974597376722,0.5525194083474337
0.002,18072,,,,,,,
,21083,0.9613291025161743,0.7220192627034208,0.6989652653531309,6,,,
,21083,,,,6,1.0941201448440552,0.6805578615307986,0.5509404444551033
0.002,21084,,,,,,,
,24095,1.0641247034072876,0.7152108933909,0.6964208904875089,7,,,
,24095,,,,7,1.0756181478500366,0.6850199236261,0.5568820045234921
0.002,24096,,,,,,,
,27107,1.0161268711090088,0.7243440717369645,0.6988872583290006,8,,,
,27107,,,,8,1.064246416091919,0.688817864851403,0.5613348035905112
0.002,27108,,,,,,,
,30119,1.000293254852295,0.7195283958817669,0.6921797917959059,9,,,
,30119,,,,9,1.040368676185608,0.6952930433338868,0.5679837156409768
0.002,30120,,,,,,,
,33131,0.9753397107124329,0.7301560943208236,0.7052710428309288,10,,,
,33131,,,,10,1.0362935066223145,0.6955213348829486,0.5698694006769077
0.002,33132,,,,,,,
,36143,0.9708990454673767,0.7228495516439721,0.7025676954691861,11,,,
,36143,,,,11,1.0323578119277954,0.6966835464054458,0.5717761452717118
0.002,36144,,,,,,,
,39155,1.0160704851150513,0.7255064762537363,0.7043822297891316,12,,,
,39155,,,,12,1.0232206583023071,0.698592893906691,0.5738330248094092
0.0002,39156,,,,,,,
,42167,1.009893774986267,0.72783128528728,0.708616023411424,13,,,
,42167,,,,13,0.9768885970115662,0.7105055620122862,0.5869732882817918
0.0002,42168,,,,,,,
,45179,0.9929360151290894,0.72783128528728,0.7082852878202708,14,,,
,45179,,,,14,0.9551413655281067,0.717810891582268,0.5965003106595531
0.0002,45180,,,,,,,
,48191,0.9716843366622925,0.72783128528728,0.709624187315257,15,,,
,48191,,,,15,0.9427028894424438,0.7210484808235099,0.600341676190514
0.0002,48192,,,,,,,
,51203,0.938827395439148,0.7338093656592494,0.713271148375933,16,,,
,51203,,,,16,0.9292137622833252,0.7233729038685041,0.6019704842571464
0.0002,51204,,,,,,,
,54215,0.9290748834609985,0.7358020591165726,0.7163813653603971,17,,,
,54215,,,,17,0.9193155765533447,0.7265067242238087,0.6055433032764653
0.0002,54216,,,,,,,
,57227,0.967061460018158,0.732314845566257,0.7098823761164098,18,,,
,57227,,,,18,0.9110226631164551,0.7277311970778682,0.6072009370275037
0.0002,57228,,,,,,,
,60239,1.0187008380889893,0.727167054134839,0.707239436984029,19,,,
,60239,,,,19,0.9072694182395935,0.7296612983563009,0.609789343835688
0.0002,60240,,,,,,,
,63251,0.9757663011550903,0.7324809033543673,0.7117279789902454,20,,,
,63251,,,,20,0.8935766816139221,0.7357214012950357,0.6169534972363795
0.0002,63252,,,,,,,
,66263,1.0322835445404053,0.7306542676851544,0.7090137825002142,21,,,
,66263,,,,21,0.8963404893875122,0.7328781338203553,0.6142203436425682
0.0002,66264,,,,,,,
,69275,0.9366250038146973,0.7377947525738957,0.7162430335642448,22,,,
,69275,,,,22,0.8888288736343384,0.7351610493109746,0.6172985316874908
0.0002,69276,,,,,,,
,72287,1.0126361846923828,0.7351378279641315,0.7123014768313528,23,,,
,72287,,,,23,0.8776461482048035,0.7400796945043998,0.6232611261389138
2e-05,72288,,,,,,,
,75299,0.9448569416999817,0.7326469611424776,0.7112374947495206,24,,,
,75299,,,,24,0.8726828098297119,0.7392702971940893,0.6212509509720912
2e-05,75300,,,,,,,
,78311,0.943477988243103,0.7372965792095649,0.7151458864924395,25,,,
,78311,,,,25,0.8647515773773193,0.7399344180640877,0.6219348359531914
2e-05,78312,,,,,,,
,81323,0.9553396105766296,0.7381268681501162,0.715950278045602,26,,,
,81323,,,,26,0.8707729578018188,0.7403702473850241,0.6226368333589563
2e-05,81324,,,,,,,
,84335,0.9501845836639404,0.7324809033543673,0.7120286862885434,27,,,
,84335,,,,27,0.8708775043487549,0.739394819857214,0.6212699231467267
2e-05,84336,,,,,,,
,87347,0.9751588106155396,0.7358020591165726,0.7155716440502925,28,,,
,87347,,,,28,0.8740400671958923,0.7395400962975262,0.6201101453764564
2e-05,87348,,,,,,,
,90359,0.9430577754974365,0.7333111922949186,0.7134284882486363,29,,,
,90359,,,,29,0.8701027631759644,0.7387514527644031,0.6208304125388738
2.0000000000000003e-06,90360,,,,,,,
,93371,0.9751110076904297,0.7346396545998007,0.7134491998951417,30,,,
,93371,,,,30,0.8726785778999329,0.7390420056450274,0.6218121846283038
2.0000000000000003e-06,93372,,,,,,,
,96383,0.9558984637260437,0.7343075390235803,0.7153881324605248,31,,,
,96383,,,,31,0.8690147399902344,0.7404947700481488,0.6225913303648746
2.0000000000000003e-06,96384,,,,,,,
,99395,0.9474567174911499,0.7343075390235803,0.7120191902702729,32,,,
,99395,,,,32,0.8681219220161438,0.7404532624937739,0.6225026635577364
