lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.002,0,,,,,,,
,3011,0.9865465760231018,0.7160411823314513,0.69313675874985,0,,,
,3011,,,,0,1.1103405952453613,0.6741241906026897,0.5481544739513086
0.002,3012,,,,,,,
,6023,0.9765081405639648,0.7178678180006642,0.7008796191790454,1,,,
,6023,,,,1,0.8078383803367615,0.754026232774365,0.6406369114284108
0.002,6024,,,,,,,
,9035,1.0074704885482788,0.7231816672201926,0.7071338646479838,2,,,
,9035,,,,2,0.6135105490684509,0.8066163041673584,0.7085755363688859
0.002,9036,,,,,,,
,12047,1.1238305568695068,0.7110594486881435,0.6935501289464571,3,,,
,12047,,,,3,0.4472914934158325,0.854163207703802,0.7722459771042608
0.002,12048,,,,,,,
,15059,1.2345764636993408,0.7120557954168051,0.6950325614968307,4,,,
,15059,,,,4,0.3172495365142822,0.8968537273783829,0.8359919262458861
0.002,15060,,,,,,,
,18071,1.350913166999817,0.704417137163733,0.6916184361548487,5,,,
,18071,,,,5,0.23380160331726074,0.9228789639714428,0.8737323605158159
0.002,18072,,,,,,,
,21083,1.3983300924301147,0.7132181999335769,0.6947812582930578,6,,,
,21083,,,,6,0.17341111600399017,0.9441515855885771,0.9075788831490706
0.002,21084,,,,,,,
,24095,1.5114761590957642,0.7034207904350714,0.6866010179949263,7,,,
,24095,,,,7,0.13704493641853333,0.9574547567657313,0.9300998051184168
0.0002,24096,,,,,,,
,27107,1.4801615476608276,0.7177017602125539,0.6986239778310207,8,,,
,27107,,,,8,0.06336755305528641,0.9831271791466046,0.9712181039700515
0.0002,27108,,,,,,,
,30119,1.484548807144165,0.7205247426104284,0.7018304848131014,9,,,
,30119,,,,9,0.040446411818265915,0.9924663788809563,0.9871758084309954
0.0002,30120,,,,,,,
,33131,1.4968011379241943,0.7218532049153106,0.7027835865366835,10,,,
,33131,,,,10,0.03096136264503002,0.9951021085837622,0.991635342738197
0.0002,33132,,,,,,,
,36143,1.4941651821136475,0.7230156094320823,0.7028029414951978,11,,,
,36143,,,,11,0.026723168790340424,0.9964718578781339,0.9938579097586226
0.0002,36144,,,,,,,
,39155,1.4933441877365112,0.724011956160744,0.7040834903503995,12,,,
,39155,,,,12,0.024302668869495392,0.9967416569815707,0.9944643417165399
0.0002,39156,,,,,,,
,42167,1.5009751319885254,0.7243440717369645,0.7042327780965311,13,,,
,42167,,,,13,0.021877026185393333,0.9975095467375062,0.9958371217212312
2e-05,42168,,,,,,,
,45179,1.50188410282135,0.7243440717369645,0.7039976834191561,14,,,
,45179,,,,14,0.019861996173858643,0.9980491449443799,0.9965592213973413
2e-05,45180,,,,,,,
,48191,1.5034215450286865,0.724676187313185,0.7044632346632094,15,,,
,48191,,,,15,0.0194992758333683,0.9982151751618794,0.9970110607749654
2e-05,48192,,,,,,,
,51203,1.5042840242385864,0.7241780139488542,0.7040780639537493,16,,,
,51203,,,,16,0.019276104867458344,0.9983396978250042,0.9970880144630759
2e-05,51204,,,,,,,
,54215,1.5045592784881592,0.7236798405845234,0.7034168461776401,17,,,
,54215,,,,17,0.019439000636339188,0.9982359289390669,0.9969924812030069
