lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.002,0,,,,,,,
,3011,1.0961706638336182,0.6725340418465626,0.6470327568765234,0,,,
,3011,,,,0,1.245890498161316,0.6307487962809232,0.4988328742271717
0.002,3012,,,,,,,
,6023,1.0742114782333374,0.6824975091331783,0.6601923029476945,1,,,
,6023,,,,1,1.0399106740951538,0.6879462062095302,0.5610850326274618
0.002,6024,,,,,,,
,9035,1.0497089624404907,0.6977748256393225,0.6709334090128953,2,,,
,9035,,,,2,0.9595082998275757,0.706375560351984,0.58182767959719
0.002,9036,,,,,,,
,12047,1.0776232481002808,0.6908003985386915,0.6709485889606372,3,,,
,12047,,,,3,0.9028652310371399,0.7216918479163208,0.6007389325823539
0.002,12048,,,,,,,
,15059,1.0670477151870728,0.6994354035204251,0.6809994736204805,4,,,
,15059,,,,4,0.8525853753089905,0.7351195417565997,0.6154681843398989
0.002,15060,,,,,,,
,18071,1.0993034839630127,0.6873131849883759,0.6682731035316222,5,,,
,18071,,,,5,0.8134008049964905,0.7457454756765731,0.630476072021409
0.002,18072,,,,,,,
,21083,1.0918550491333008,0.6868150116240451,0.666238501077689,6,,,
,21083,,,,6,0.7752581238746643,0.7538602025568654,0.6395103476218817
0.002,21084,,,,,,,
,24095,1.122307300567627,0.6858186648953836,0.6636114006045976,7,,,
,24095,,,,7,0.740970253944397,0.761808899219658,0.6496603782435558
0.002,24096,,,,,,,
,27107,1.14325749874115,0.6803387578877449,0.6576855726281753,8,,,
,27107,,,,8,0.719227135181427,0.7699236260999502,0.6596070496925064
0.0002,27108,,,,,,,
,30119,1.0922149419784546,0.7084025240783792,0.6872051278717262,9,,,
,30119,,,,9,0.551235020160675,0.8232608334716919,0.7291345757867009
0.0002,30120,,,,,,,
,33131,1.083844780921936,0.7072401195616075,0.6865982495980066,10,,,
,33131,,,,10,0.5252460837364197,0.8316246056782335,0.7417539006975981
0.0002,33132,,,,,,,
,36143,1.092191219329834,0.7045831949518433,0.6858561318791412,11,,,
,36143,,,,11,0.5047686696052551,0.8394072721235265,0.7526240607550374
0.0002,36144,,,,,,,
,39155,1.0902661085128784,0.705745599468615,0.6862284604030142,12,,,
,39155,,,,12,0.49423399567604065,0.8416694338369584,0.7532413591997719
0.0002,39156,,,,,,,
,42167,1.093048095703125,0.7070740617734972,0.6869611462556656,13,,,
,42167,,,,13,0.4860621392726898,0.8437448115557031,0.7577213684038743
0.0002,42168,,,,,,,
,45179,1.0919926166534424,0.7067419461972767,0.6864859758128675,14,,,
,45179,,,,14,0.47627636790275574,0.8462352648181969,0.7622589211934859
2e-05,45180,,,,,,,
,48191,1.0925918817520142,0.707572235137828,0.6888204079241479,15,,,
,48191,,,,15,0.45713376998901367,0.8531670263988046,0.7714842679609305
2e-05,48192,,,,,,,
,51203,1.094106912612915,0.708236466290269,0.6895806426662244,16,,,
,51203,,,,16,0.4594946801662445,0.8534575792794289,0.7725132102576343
2e-05,51204,,,,,,,
,54215,1.0955867767333984,0.7080704085021587,0.6895033280330903,17,,,
,54215,,,,17,0.4526321589946747,0.8546612983563009,0.7744050111269247
2e-05,54216,,,,,,,
,57227,1.0959450006484985,0.7070740617734972,0.6890243588128707,18,,,
,57227,,,,18,0.4529958665370941,0.8536443632741159,0.7723321077752338
2e-05,57228,,,,,,,
,60239,1.0954549312591553,0.7074061773497177,0.689007025303162,19,,,
,60239,,,,19,0.45383408665657043,0.854204715258177,0.7725687419063442
2e-05,60240,,,,,,,
,63251,1.095741629600525,0.7084025240783792,0.6899481007375892,20,,,
,63251,,,,20,0.45326539874076843,0.8539556699319276,0.7727269658913858
2.0000000000000003e-06,63252,,,,,,,
,66263,1.0958073139190674,0.7084025240783792,0.6901366436929678,21,,,
,66263,,,,21,0.45138582587242126,0.8546612983563009,0.7736324675178144
2.0000000000000003e-06,66264,,,,,,,
,69275,1.0958831310272217,0.7087346396545998,0.6905352901459562,22,,,
,69275,,,,22,0.4513232707977295,0.8559687863191101,0.7760846111060202
2.0000000000000003e-06,69276,,,,,,,
,72287,1.0959587097167969,0.7087346396545998,0.69039682893481,23,,,
,72287,,,,23,0.4499322175979614,0.8557404947700481,0.7753196843214886
2.0000000000000003e-06,72288,,,,,,,
,75299,1.0960450172424316,0.7087346396545998,0.6904513049689237,24,,,
,75299,,,,24,0.4454481303691864,0.8574215507222315,0.7791364897647978
2.0000000000000003e-06,75300,,,,,,,
,78311,1.0962021350860596,0.7089006974427101,0.6905676629050523,25,,,
,78311,,,,25,0.44831985235214233,0.8554499418894239,0.7740638413338908
2.0000000000000003e-06,78312,,,,,,,
,81323,1.0962508916854858,0.7089006974427101,0.6905727894039818,26,,,
,81323,,,,26,0.4501590430736542,0.856798937406608,0.7765368257429663
2.0000000000000004e-07,81324,,,,,,,
,84335,1.0962278842926025,0.7089006974427101,0.6905727894039818,27,,,
,84335,,,,27,0.4488068222999573,0.8551386352316122,0.7745526949654618
2.0000000000000004e-07,84336,,,,,,,
,87347,1.0962673425674438,0.7089006974427101,0.6905580687847195,28,,,
,87347,,,,28,0.4480641782283783,0.8577121036028558,0.7777467688423922
2.0000000000000004e-07,87348,,,,,,,
,90359,1.0962753295898438,0.7089006974427101,0.690563504299606,29,,,
,90359,,,,29,0.44814059138298035,0.8562178316453595,0.776319258528827
2.0000000000000004e-07,90360,,,,,,,
,93371,1.09627366065979,0.7087346396545998,0.6904040423637556,30,,,
,93371,,,,30,0.44888001680374146,0.8562800929769218,0.7754833127310075
2.0000000000000004e-07,93372,,,,,,,
,96383,1.096266746520996,0.7089006974427101,0.6905498367485511,31,,,
,96383,,,,31,0.44904032349586487,0.85800265648348,0.7783592427406639
2.0000000000000004e-07,96384,,,,,,,
,99395,1.0962705612182617,0.7089006974427101,0.6905498367485511,32,,,
,99395,,,,32,0.45159009099006653,0.8547235596878632,0.7729904258018525
2.0000000000000007e-08,99396,,,,,,,
,102407,1.0962622165679932,0.7089006974427101,0.6905498367485511,33,,,
,102407,,,,33,0.44954606890678406,0.8551178814544247,0.773647031417249
2.0000000000000007e-08,102408,,,,,,,
