lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.002,0,,,,,,,
,3011,1.557478904724121,0.5594486881434739,0.5278699234154216,0,,,
,3011,,,,0,1.7352335453033447,0.5038809563340528,0.3732223163419055
0.002,3012,,,,,,,
,6023,1.5064626932144165,0.568415808701428,0.5372097288702753,1,,,
,6023,,,,1,1.4778976440429688,0.5700855055620123,0.43348245437771604
0.002,6024,,,,,,,
,9035,1.443968653678894,0.5860179342411159,0.5567967332340386,2,,,
,9035,,,,2,1.3752278089523315,0.5935372737838287,0.4582844084852487
0.002,9036,,,,,,,
,12047,1.4504258632659912,0.5838591829956825,0.5598065830626587,3,,,
,12047,,,,3,1.2944415807724,0.6190851735015773,0.4832974027506346
0.002,12048,,,,,,,
,15059,1.4463646411895752,0.5914978412487546,0.5721345205942835,4,,,
,15059,,,,4,1.234543800354004,0.6320562842437324,0.49739309737039233
0.002,15060,,,,,,,
,18071,1.4503180980682373,0.5971438060445035,0.5753888507758664,5,,,
,18071,,,,5,1.1752147674560547,0.6486800597708783,0.5161886248437252
0.002,18072,,,,,,,
,21083,1.4510213136672974,0.5991364995018267,0.5794793629286262,6,,,
,21083,,,,6,1.1348615884780884,0.6588494105927278,0.5271622567670528
0.002,21084,,,,,,,
,24095,1.457665205001831,0.5973098638326138,0.5754154372869708,7,,,
,24095,,,,7,1.0922871828079224,0.6696413747302009,0.5399826063219749
0.002,24096,,,,,,,
,27107,1.4578522443771362,0.598140152773165,0.5710617153196936,8,,,
,27107,,,,8,1.0646073818206787,0.6780466544911173,0.5489925190477306
0.0002,27108,,,,,,,
,30119,1.4355027675628662,0.6061109266024577,0.5843345506842211,9,,,
,30119,,,,9,0.9395145773887634,0.7160883280757098,0.5954389793636453
0.0002,30120,,,,,,,
,33131,1.433530569076538,0.6084357356360013,0.5866423586195476,10,,,
,33131,,,,10,0.9125941395759583,0.7218578781338204,0.6009444166003052
0.0002,33132,,,,,,,
,36143,1.4319909811019897,0.6066090999667885,0.5864129710815297,11,,,
,36143,,,,11,0.9055209755897522,0.7250332060435,0.6031628407614001
0.0002,36144,,,,,,,
,39155,1.4308618307113647,0.6100963135171039,0.5891019736882525,12,,,
,39155,,,,12,0.9029834270477295,0.7270670762078698,0.6061181132985742
0.0002,39156,,,,,,,
,42167,1.433247685432434,0.6110926602457655,0.5884972191981978,13,,,
,42167,,,,13,0.8865854740142822,0.732815872488793,0.6129723721559277
0.0002,42168,,,,,,,
,45179,1.4341976642608643,0.606941215543009,0.5867365416500102,14,,,
,45179,,,,14,0.8848814964294434,0.731798937406608,0.6122676408777996
0.0002,45180,,,,,,,
,48191,1.4317516088485718,0.6097641979408834,0.5892660873697568,15,,,
,48191,,,,15,0.879701554775238,0.7329819027062926,0.6131214603938294
0.0002,48192,,,,,,,
,51203,1.434691071510315,0.6095981401527731,0.589217476853445,16,,,
,51203,,,,16,0.8684138059616089,0.736572306159721,0.6182002930903073
0.0002,51204,,,,,,,
,54215,1.4382189512252808,0.6072733311192295,0.587427574476088,17,,,
,54215,,,,17,0.8627294301986694,0.7386269301012784,0.6208229140242817
0.0002,54216,,,,,,,
,57227,1.4413588047027588,0.6072733311192295,0.5885889145503785,18,,,
,57227,,,,18,0.8652241826057434,0.7371741656981571,0.6199907816673424
2e-05,57228,,,,,,,
,60239,1.4366323947906494,0.6077715044835603,0.5876736001458509,19,,,
,60239,,,,19,0.8424431681632996,0.7448323094803254,0.6281449596341416
2e-05,60240,,,,,,,
,63251,1.436000943183899,0.6084357356360013,0.5881523940190426,20,,,
,63251,,,,20,0.8459749221801758,0.7421965797775195,0.6234716127881105
2e-05,63252,,,,,,,
,66263,1.435351848602295,0.6082696778478911,0.5878460579518909,21,,,
,66263,,,,21,0.8417288661003113,0.745973767225635,0.6289931704339072
2e-05,66264,,,,,,,
,69275,1.4352147579193115,0.60760544669545,0.586710491270324,22,,,
,69275,,,,22,0.8465548753738403,0.7442304499418895,0.6272679703423272
2e-05,69276,,,,,,,
,72287,1.4351716041564941,0.6079375622716705,0.5875524437608873,23,,,
,72287,,,,23,0.8390992283821106,0.7460360285571974,0.6296028293881267
2e-05,72288,,,,,,,
,75299,1.4354795217514038,0.6079375622716705,0.5870654813261015,24,,,
,75299,,,,24,0.8425021171569824,0.7440021583928275,0.6283425712274762
2.0000000000000003e-06,75300,,,,,,,
,78311,1.4355002641677856,0.6084357356360013,0.5875023561688325,25,,,
,78311,,,,25,0.8395825624465942,0.745185123692512,0.6283732133613033
2.0000000000000003e-06,78312,,,,,,,
,81323,1.4355337619781494,0.6084357356360013,0.5875725081428348,26,,,
,81323,,,,26,0.8375865817070007,0.7464718578781339,0.6300245548133503
2.0000000000000003e-06,81324,,,,,,,
,84335,1.4356590509414673,0.6086017934241116,0.5876588809709576,27,,,
,84335,,,,27,0.8394796252250671,0.7453096463556367,0.6292408735160426
