lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.002,0,,,,,,,
,3011,2.089589834213257,0.3932248422451013,0.3497549681675341,0,,,
,3011,,,,0,2.3072845935821533,0.3305246554872987,0.2245259573234769
0.002,3012,,,,,,,
,6023,2.1060128211975098,0.3980405181002989,0.3485890461386522,1,,,
,6023,,,,1,2.046837329864502,0.40283081520836794,0.2818957154929081
0.002,6024,,,,,,,
,9035,2.035122871398926,0.4139820657588841,0.36300375355991665,2,,,
,9035,,,,2,1.9821205139160156,0.4243317283745642,0.3004285506073289
0.002,9036,,,,,,,
,12047,2.007859230041504,0.416472932580538,0.3930513981482986,3,,,
,12047,,,,3,1.9509943723678589,0.4340444960982899,0.30861414329358494
0.002,12048,,,,,,,
,15059,1.981797456741333,0.42776486217203585,0.3853637774578151,4,,,
,15059,,,,4,1.919580101966858,0.4422422380873319,0.31484755757021454
0.002,15060,,,,,,,
,18071,1.9927860498428345,0.4294254400531385,0.39604209609643776,5,,,
,18071,,,,5,1.8931821584701538,0.45050224140793627,0.32300529560912367
0.002,18072,,,,,,,
,21083,1.9310622215270996,0.4385586183992029,0.41153294537594265,6,,,
,21083,,,,6,1.8754123449325562,0.45309646355636723,0.324457459648008
0.002,21084,,,,,,,
,24095,1.9570112228393555,0.43042178678180004,0.40150835727978507,7,,,
,24095,,,,7,1.8649914264678955,0.4569151585588577,0.32812736144162075
0.002,24096,,,,,,,
,27107,1.9424329996109009,0.44021919628030554,0.4151839730790467,8,,,
,27107,,,,8,1.8536001443862915,0.46077536111572304,0.33160071695397475
0.002,27108,,,,,,,
,30119,1.9628502130508423,0.4350714048488874,0.41373118546218784,9,,,
,30119,,,,9,1.843353509902954,0.46166777353478333,0.3308035463629778
0.002,30120,,,,,,,
,33131,1.9225578308105469,0.44553304549983397,0.41688850488651036,10,,,
,33131,,,,10,1.8342759609222412,0.46478084011290055,0.33476020932763995
0.002,33132,,,,,,,
,36143,1.913537621498108,0.44304217867818,0.4104652566554394,11,,,
,36143,,,,11,1.827642798423767,0.4657355138635232,0.3352867460194726
0.002,36144,,,,,,,
,39155,1.9280273914337158,0.4513450680836931,0.41619846418451695,12,,,
,39155,,,,12,1.8105674982070923,0.47086169682882284,0.34044422216251513
0.002,39156,,,,,,,
,42167,1.937781810760498,0.44154765858518763,0.41449905639842094,13,,,
,42167,,,,13,1.8087546825408936,0.47401627096131493,0.3436590744110714
0.002,42168,,,,,,,
,45179,1.9461461305618286,0.4395549651278645,0.4059213584520352,14,,,
,45179,,,,14,1.7998369932174683,0.47548978914162376,0.3433276601186511
0.002,45180,,,,,,,
,48191,1.9132505655288696,0.44818997010959816,0.42217683993968363,15,,,
,48191,,,,15,1.7993220090866089,0.4754482815872489,0.3441203354401259
0.002,48192,,,,,,,
,51203,1.9505680799484253,0.43972102291597476,0.3951475453850735,16,,,
,51203,,,,16,1.7958340644836426,0.47285405943881786,0.34273632046976993
0.002,51204,,,,,,,
,54215,1.891151785850525,0.45350381932912653,0.4269671596785012,17,,,
,54215,,,,17,1.7915945053100586,0.47551054291881123,0.3450857296083312
0.002,54216,,,,,,,
,57227,1.9054737091064453,0.45151112587180336,0.4229059212192394,18,,,
,57227,,,,18,1.7855781316757202,0.47677652332724557,0.34580020672481593
0.002,57228,,,,,,,
,60239,1.8782867193222046,0.45699103287944204,0.42470791086586046,19,,,
,60239,,,,19,1.7843955755233765,0.48065747966129835,0.3492036655671875
0.002,60240,,,,,,,
,63251,1.9153335094451904,0.44868814347392894,0.41369309029244344,20,,,
,63251,,,,20,1.7792948484420776,0.4792669765897393,0.34739382093936455
0.002,63252,,,,,,,
,66263,1.8863528966903687,0.4536698771172368,0.42916421377738095,21,,,
,66263,,,,21,1.7729610204696655,0.48086501743317284,0.3486901079452845
0.002,66264,,,,,,,
,69275,1.9056272506713867,0.4483560278977084,0.41460626519423355,22,,,
,69275,,,,22,1.770148754119873,0.48003486634567494,0.34865962319280996
0.002,69276,,,,,,,
,72287,1.9057328701019287,0.44337429425440056,0.415707374647911,23,,,
,72287,,,,23,1.7728511095046997,0.48204798273285737,0.34960638213564377
0.002,72288,,,,,,,
,75299,1.892389178276062,0.4533377615410163,0.4221997650495064,24,,,
,75299,,,,24,1.7649520635604858,0.4851195417565997,0.3529699823050891
0.002,75300,,,,,,,
,78311,1.8982824087142944,0.44818997010959816,0.42590941197171345,25,,,
,78311,,,,25,1.7591829299926758,0.4872779345840943,0.3546520247069919
0.0002,78312,,,,,,,
,81323,1.8018609285354614,0.47525738957157093,0.4467079186722287,26,,,
,81323,,,,26,1.649862289428711,0.5172048812883945,0.38284291512262925
0.0002,81324,,,,,,,
,84335,1.811550259590149,0.47027565592826304,0.4412602209324672,27,,,
,84335,,,,27,1.6460953950881958,0.5176407106093309,0.38184426176302466
0.0002,84336,,,,,,,
,87347,1.8036404848098755,0.472766522749917,0.44468075875494445,28,,,
,87347,,,,28,1.6333166360855103,0.5228914162377553,0.3882364227190012
0.0002,87348,,,,,,,
,90359,1.806523323059082,0.4726004649618067,0.4448000580470626,29,,,
,90359,,,,29,1.6286417245864868,0.5252158392827495,0.390478649890221
0.0002,90360,,,,,,,
,93371,1.8013027906417847,0.47459315841912986,0.43992435508456024,30,,,
,93371,,,,30,1.6213655471801758,0.5237423211024407,0.3886871565558614
0.0002,93372,,,,,,,
,96383,1.7984180450439453,0.472766522749917,0.444766875865354,31,,,
,96383,,,,31,1.6259238719940186,0.5212726216171343,0.38630454214607723
0.0002,96384,,,,,,,
,99395,1.799229383468628,0.4760876785121222,0.44332516596371646,32,,,
,99395,,,,32,1.6225924491882324,0.524821517516188,0.3893743304340183
0.0002,99396,,,,,,,
,102407,1.8107213973999023,0.47110594486881435,0.4384577786684864,33,,,
,102407,,,,33,1.6184253692626953,0.523617798439316,0.3884927017363387
0.0002,102408,,,,,,,
,105419,1.8063855171203613,0.4735968116904683,0.4454405046298304,34,,,
,105419,,,,34,1.6155872344970703,0.5242819193093143,0.3890132257334769
0.0002,105420,,,,,,,
,108431,1.802001953125,0.4744271006310196,0.44365330025005784,35,,,
,108431,,,,35,1.6150754690170288,0.525381869500249,0.3897909198322482
0.0002,108432,,,,,,,
,111443,1.8056423664093018,0.4735968116904683,0.44499856711961416,36,,,
,111443,,,,36,1.6149555444717407,0.5261497592561847,0.3900869851148261
0.0002,111444,,,,,,,
,114455,1.8020859956741333,0.47725008302889405,0.4462551533427801,37,,,
,114455,,,,37,1.6128793954849243,0.526398804582434,0.39132117728978655
2e-05,114456,,,,,,,
,117467,1.7910964488983154,0.47376286947857854,0.443705532201138,38,,,
,117467,,,,38,1.5968883037567139,0.5312344346671094,0.39563978025423324
2e-05,117468,,,,,,,
,120479,1.7923871278762817,0.4754234473596812,0.4453435924900491,39,,,
,120479,,,,39,1.5921294689178467,0.5342437323592893,0.3996970741673763
2e-05,120480,,,,,,,
,123491,1.7928718328475952,0.4754234473596812,0.4445773841359477,40,,,
,123491,,,,40,1.5936743021011353,0.5318362942055455,0.3962126606365642
2e-05,123492,,,,,,,
,126503,1.791962742805481,0.47459315841912986,0.4448612073571884,41,,,
,126503,,,,41,1.597255825996399,0.5301344844761746,0.39496568034081925
