lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,1.9090564250946045,0.432912653603454,0.4127156413312247,0,,,
,,,,3011,,,,0,2.258516788482666,0.3470861696828823,0.23578593713917145
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,1.9025598764419556,0.4377283294586516,0.4241040055374607,1,,,
,,,,6023,,,,1,2.074819564819336,0.3941972438983895,0.2747149050658205
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,1.8914132118225098,0.44254400531384924,0.4330760882120395,2,,,
,,,,9035,,,,2,1.97843337059021,0.419599867175826,0.29586289732473225
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,1.845306634902954,0.45649285951511126,0.4274217550995913,3,,,
,,,,12047,,,,3,1.894553542137146,0.4402706292545243,0.3138078175414208
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,1.8365246057510376,0.46545998007306544,0.45572454085454384,4,,,
,,,,15059,,,,4,1.8218188285827637,0.46104516021915987,0.3314913289622133
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,1.8492701053619385,0.4576552640318831,0.447087928957368,5,,,
,,,,18071,,,,5,1.7518305778503418,0.4780632575128673,0.3467725261718526
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,1.823526382446289,0.46662238458983724,0.4476915245030975,6,,,
,,,,21083,,,,6,1.6846907138824463,0.49906608002656483,0.3661297542336884
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,1.8937381505966187,0.4681169046828296,0.4539102516627749,7,,,
,,,,24095,,,,7,1.6064085960388184,0.5189481985721401,0.38507403127119655
2e-05,0.002,0.002,0.002,24096,,,,,,,
,,,,27107,1.9248321056365967,0.46745267353038855,0.45841169354892,8,,,
,,,,27107,,,,8,1.5471359491348267,0.5346588079030383,0.4004584961942486
2e-05,0.002,0.002,0.002,27108,,,,,,,
,,,,30119,1.9574054479599,0.47110594486881435,0.4599252510653044,9,,,
,,,,30119,,,,9,1.4711050987243652,0.5582143450107919,0.4236257832118051
2e-05,0.002,0.002,0.002,30120,,,,,,,
,,,,33131,1.989304780960083,0.45865161076054467,0.4464975322298461,10,,,
