lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0,,,,,,,
,3011,1.9550272226333618,0.42344735968116903,0.39232134699869375,0,,,
,3011,,,,0,2.2743618488311768,0.3426033538103935,0.23228755151666705
2e-05,3012,,,,,,,
,6023,1.8273168802261353,0.4558286283626702,0.42710829040055703,1,,,
,6023,,,,1,2.0288844108581543,0.406213680889922,0.28452481400140267
2e-05,6024,,,,,,,
,9035,1.8249329328536987,0.4616406509465294,0.43704757815551126,2,,,
,9035,,,,2,1.908142328262329,0.4369707786817201,0.30989708814131744
2e-05,9036,,,,,,,
,12047,1.8085079193115234,0.4646296911325141,0.4477019685164681,3,,,
,12047,,,,3,1.8070498704910278,0.46409596546571474,0.3332489539672416
2e-05,12048,,,,,,,
,15059,1.8143434524536133,0.4712720026569246,0.4619742406614295,4,,,
,15059,,,,4,1.7253904342651367,0.4878382865681554,0.3553413704143029
2e-05,15060,,,,,,,
,18071,1.8038084506988525,0.47326469611424776,0.4570152021887517,5,,,
,18071,,,,5,1.6393425464630127,0.5086543250871659,0.375553852359015
2e-05,18072,,,,,,,
,21083,1.8351922035217285,0.46961142477582196,0.4548442974418114,6,,,
,21083,,,,6,1.5430423021316528,0.5366719242902208,0.4026433151689314
2e-05,21084,,,,,,,
,24095,1.8628730773925781,0.47110594486881435,0.4601772864743458,7,,,
,24095,,,,7,1.4502356052398682,0.5600406774032874,0.42671011850558765
2e-05,24096,,,,,,,
,27107,1.9324133396148682,0.4642975755562936,0.4500485059192607,8,,,
,27107,,,,8,1.3521610498428345,0.5884525983729039,0.4538729847265008
2e-05,27108,,,,,,,
,30119,1.9784122705459595,0.47177017602125537,0.45792655114761854,9,,,
,30119,,,,9,1.2585480213165283,0.6149344180640877,0.4813604335449201
2e-05,30120,,,,,,,
,33131,2.017549753189087,0.4699435403520425,0.458026411326971,10,,,
,33131,,,,10,1.1666719913482666,0.6439481985721401,0.5129186993025058
2e-05,33132,,,,,,,
,36143,2.175252914428711,0.4554965127864497,0.4416087937656274,11,,,
,36143,,,,11,1.067733883857727,0.67200730532957,0.5433137899030005
2.0000000000000003e-06,36144,,,,,,,
,39155,2.11266827583313,0.48439056791763535,0.47458366165950494,12,,,
,39155,,,,12,0.6976539492607117,0.788020919807405,0.6863496382218174
2.0000000000000003e-06,39156,,,,,,,
,42167,2.1414759159088135,0.4840584523414148,0.47441793872967547,13,,,
,42167,,,,13,0.5757434964179993,0.8268719907023078,0.7361749112996774
2.0000000000000003e-06,42168,,,,,,,
,45179,2.174126148223877,0.4840584523414148,0.4729759112315777,14,,,
,45179,,,,14,0.5237719416618347,0.8434750124522663,0.7585703920662196
2.0000000000000003e-06,45180,,,,,,,
,48191,2.225945234298706,0.4777482563932248,0.47004485490647746,15,,,
,48191,,,,15,0.47753629088401794,0.8572970280591068,0.7779662315504093
2.0000000000000003e-06,48192,,,,,,,
,51203,2.2591614723205566,0.4790767186981069,0.4684143040339914,16,,,
,51203,,,,16,0.44157272577285767,0.8682550224140794,0.7942590378742252
2.0000000000000003e-06,51204,,,,,,,
,54215,2.2870383262634277,0.48123546994354033,0.4716384173692916,17,,,
,54215,,,,17,0.4067060351371765,0.8787356798937407,0.8090539171694143
2.0000000000000004e-07,54216,,,,,,,
,57227,2.296386241912842,0.47874460312188644,0.4697380304141376,18,,,
,57227,,,,18,0.3752920627593994,0.8891540760418396,0.8243362490272547
2.0000000000000004e-07,57228,,,,,,,
,60239,2.3013641834259033,0.48123546994354033,0.47197956825305426,19,,,
,60239,,,,19,0.3615799844264984,0.8927237257180807,0.829794709277641
2.0000000000000004e-07,60240,,,,,,,
,63251,2.3025968074798584,0.48156758551976087,0.47216157695547895,20,,,
,63251,,,,20,0.3546425700187683,0.8954632243068238,0.8335612086659827
2.0000000000000004e-07,63252,,,,,,,
,66263,2.308821439743042,0.4810694121554301,0.47245029302202113,21,,,
,66263,,,,21,0.35221993923187256,0.8973725718080691,0.8363013091426788
2.0000000000000004e-07,66264,,,,,,,
,69275,2.313488483428955,0.48023912321487877,0.47073357284717504,22,,,
,69275,,,,22,0.3446243405342102,0.89899136642869,0.8393741637381473
