lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0,,,,,,,
,3011,0.3771888017654419,0.8849219528395882,0.8697196471885583,0,,,
,3011,,,,0,0.6200280785560608,0.838182799269467,0.7552528844607478
2e-05,3012,,,,,,,
,6023,0.33626553416252136,0.89239455330455,0.8822836791573185,1,,,
,6023,,,,1,0.2874619662761688,0.908392827494604,0.8519626560300951
2e-05,6024,,,,,,,
,9035,0.3202332556247711,0.9010295582862836,0.8913685569393874,2,,,
,9035,,,,2,0.18876773118972778,0.9382575128673418,0.8981962592911619
2e-05,9036,,,,,,,
,12047,0.34155526757240295,0.9008635004981733,0.8948629969144103,3,,,
,12047,,,,3,0.13275767862796783,0.955400132824174,0.9258046470013036
2e-05,12048,,,,,,,
,15059,0.37978988885879517,0.899368980405181,0.8882570914053134,4,,,
,15059,,,,4,0.09696116298437119,0.9675618462560186,0.945399206041738
2e-05,15060,,,,,,,
,18071,0.39678290486335754,0.9006974427100631,0.8922490689369766,5,,,
,18071,,,,5,0.06934159994125366,0.9770048148763075,0.9614395039473873
2e-05,18072,,,,,,,
,21083,0.45515069365501404,0.8988708070408502,0.8892504590445359,6,,,
,21083,,,,6,0.05123097077012062,0.9841233604516022,0.9731072291664977
2e-05,21084,,,,,,,
,24095,0.4467715620994568,0.8982065758884091,0.8874728711019704,7,,,
,24095,,,,7,0.04504232108592987,0.9852648181969118,0.9748671999838338
2e-05,24096,,,,,,,
,27107,0.5085161328315735,0.8953835934905348,0.8807383146002671,8,,,
,27107,,,,8,0.03499874100089073,0.988606176324091,0.9806276469301515
2.0000000000000003e-06,27108,,,,,,,
,30119,0.43925386667251587,0.9033543673198273,0.8927037303861315,9,,,
,30119,,,,9,0.013866019435226917,0.9963680889921965,0.9937437705725926
2.0000000000000003e-06,30120,,,,,,,
,33131,0.4500572085380554,0.9038525406841581,0.8931365287892904,10,,,
,33131,,,,10,0.008094494231045246,0.9982981902706293,0.9970671420928765
2.0000000000000003e-06,33132,,,,,,,
,36143,0.45434388518333435,0.9035204251079375,0.8923671109047627,11,,,
,36143,,,,11,0.006011183373630047,0.9989623111406276,0.9982707821077401
2.0000000000000003e-06,36144,,,,,,,
,39155,0.4599132537841797,0.9041846562603786,0.8934809416631139,12,,,
,39155,,,,12,0.005284533370286226,0.9989830649178151,0.998174800829624
2.0000000000000003e-06,39156,,,,,,,
,42167,0.46951332688331604,0.9046828296247094,0.8937028920651117,13,,,
,42167,,,,13,0.0043625556863844395,0.999398140461564,0.9989990222664967
2.0000000000000003e-06,42168,,,,,,,
,45179,0.4710027277469635,0.9048488874128197,0.8942285620193019,14,,,
,45179,,,,14,0.0038877788465470076,0.9995019093475013,0.9991599661614603
2.0000000000000004e-07,45180,,,,,,,
,48191,0.4717838168144226,0.9043507140484889,0.8938762992468353,15,,,
,48191,,,,15,0.0036278183106333017,0.9995019093475013,0.9991267601179605
2.0000000000000004e-07,48192,,,,,,,
,51203,0.4722505509853363,0.9045167718365992,0.8940103760040875,16,,,
,51203,,,,16,0.003517432603985071,0.9994188942387514,0.9990494111198078
2.0000000000000004e-07,51204,,,,,,,
,54215,0.47280630469322205,0.9045167718365992,0.8940103760040875,17,,,
,54215,,,,17,0.0036483199801295996,0.9994188942387514,0.9990529689101828
2.0000000000000004e-07,54216,,,,,,,
,57227,0.47327637672424316,0.9043507140484889,0.8937363572326694,18,,,
,57227,,,,18,0.0033839885145425797,0.9995226631246887,0.9991512693405437
