lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0,,,,,,,
,3011,0.3771888017654419,0.8849219528395882,0.8697196471885583,0,,,
,3011,,,,0,0.6200280785560608,0.838182799269467,0.7552528844607478
2e-05,3012,,,,,,,
,6023,0.33626553416252136,0.89239455330455,0.8822836791573185,1,,,
,6023,,,,1,0.2874619662761688,0.908392827494604,0.8519626560300951
2e-05,6024,,,,,,,
,9035,0.3202332556247711,0.9010295582862836,0.8913685569393874,2,,,
,9035,,,,2,0.18876773118972778,0.9382575128673418,0.8981962592911619
2e-05,9036,,,,,,,
,12047,0.34155526757240295,0.9008635004981733,0.8948629969144103,3,,,
,12047,,,,3,0.13275767862796783,0.955400132824174,0.9258046470013036
2e-05,12048,,,,,,,
