lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0,,,,,,,
,3011,0.3680235743522644,0.8890733975423447,0.8704560714650184,0,,,
,3011,,,,0,0.6071301102638245,0.8422997094229971,0.8004981320049859
2e-05,3012,,,,,,,
,6023,0.3195165693759918,0.9020259050149452,0.8930495964822791,1,,,
,6023,,,,1,0.2780410945415497,0.9112079701120797,0.884253493842521
2e-05,6024,,,,,,,
,9035,0.32693585753440857,0.9003653271338425,0.8847606858707312,2,,,
,9035,,,,2,0.18937526643276215,0.936612702366127,0.9168811401687957
2e-05,9036,,,,,,,
,12047,0.3392256498336792,0.9026901361673862,0.886810189095331,3,,,
,12047,,,,3,0.13183188438415527,0.9555624740556248,0.9414003044139897
2e-05,12048,,,,,,,
,15059,0.3754021227359772,0.8998671537695118,0.8879197975461516,4,,,
,15059,,,,4,0.08915357291698456,0.9695724366957243,0.9597481665974701
2e-05,15060,,,,,,,
,18071,0.3901558816432953,0.9026901361673862,0.8937485816035998,5,,,
,18071,,,,5,0.06631891429424286,0.9775425487754255,0.9703473087034613
2e-05,18072,,,,,,,
,21083,0.3817598819732666,0.9083361009631352,0.8982161315486937,6,,,
,21083,,,,6,0.057568516582250595,0.9814653383146534,0.9753563027535554
2e-05,21084,,,,,,,
,24095,0.4023100435733795,0.9070076386582531,0.8993445483956836,7,,,
,24095,,,,7,0.04220170900225639,0.9861353258613532,0.981582952815822
2.0000000000000003e-06,24096,,,,,,,
,27107,0.38523241877555847,0.9134838923945533,0.9071050802948722,8,,,
,27107,,,,8,0.016862472519278526,0.9953092569530926,0.9937595129375938
2.0000000000000003e-06,27108,,,,,,,
,30119,0.3926241993904114,0.9154765858518764,0.9088858043772188,9,,,
,30119,,,,9,0.01148504950106144,0.9974678289746783,0.9966237719662369
2.0000000000000003e-06,30120,,,,,,,
,33131,0.3993373215198517,0.9141481235469944,0.9068828112393925,10,,,
,33131,,,,10,0.008815320208668709,0.9981112494811125,0.9974816659748158
2.0000000000000003e-06,33132,,,,,,,
,36143,0.40604838728904724,0.9136499501826636,0.9067680108001147,11,,,
,36143,,,,11,0.007375611457973719,0.998692403486924,0.9982565379825646
2.0000000000000003e-06,36144,,,,,,,
,39155,0.4128132462501526,0.9148123546994354,0.9081142466113171,12,,,
,39155,,,,12,0.006322252098470926,0.9987754254877542,0.9983672339836717
2.0000000000000003e-06,39156,,,,,,,
,42167,0.4196646809577942,0.9129857190302225,0.9053370743622396,13,,,
,42167,,,,13,0.0055151148699223995,0.99906600249066,0.9987546699875461
2.0000000000000004e-07,42168,,,,,,,
,45179,0.41968128085136414,0.913317834606443,0.9057128470658456,14,,,
,45179,,,,14,0.005307931452989578,0.99906600249066,0.9987546699875464
2.0000000000000004e-07,45180,,,,,,,
,48191,0.41990748047828674,0.9138160079707738,0.9061413883462069,15,,,
,48191,,,,15,0.004719736520200968,0.9993150684931507,0.9990867579908671
