lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.45958712697029114,0.8767851212221853,0.8608867146071223,0,,,
,,,,3011,,,,0,0.7575820088386536,0.802469904524699,0.7211899490666939
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.3779454529285431,0.8889073397542345,0.8769198841309341,1,,,
,,,,6023,,,,1,0.3881571590900421,0.8907845579078456,0.8353782442823913
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.3501932621002197,0.899368980405181,0.8876398407360769,2,,,
,,,,9035,,,,2,0.2656858265399933,0.9183063511830635,0.8767299215244718
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.3623788356781006,0.8983726336765194,0.8893460312811232,3,,,
,,,,12047,,,,3,0.19951528310775757,0.9363221253632212,0.9025838950496747
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.42238032817840576,0.8983726336765194,0.8839398500082843,4,,,
,,,,15059,,,,4,0.15178680419921875,0.9510585305105853,0.923987691658947
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.41319164633750916,0.9008635004981733,0.8913009940527695,5,,,
,,,,18071,,,,5,0.1203944981098175,0.9600249066002491,0.9377072749675657
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.4280906319618225,0.901859847226835,0.8927328645988363,6,,,
,,,,21083,,,,6,0.09413980692625046,0.9687629721876297,0.9509223019497155
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.45016351342201233,0.9045167718365992,0.8958796525585403,7,,,
,,,,24095,,,,7,0.07674987614154816,0.9751141552511415,0.9611753213808125
2e-05,0.002,0.002,0.002,24096,,,,,,,
,,,,27107,0.48172226548194885,0.9068415808701428,0.8966494155854928,8,,,
,,,,27107,,,,8,0.06343266367912292,0.9794935657949356,0.9677021355103649
2.0000000000000003e-06,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,30119,0.4867304563522339,0.9109930255728994,0.9012100627911334,9,,,
,,,,30119,,,,9,0.025798466056585312,0.9926940639269406,0.9884885383515556
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.5028015971183777,0.9103287944204583,0.9012696897814708,10,,,
,,,,33131,,,,10,0.01742801070213318,0.9949979244499793,0.992152575988194
2.0000000000000003e-06,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,36143,0.5143803358078003,0.9098306210561276,0.901005546771251,11,,,
,,,,36143,,,,11,0.013600589707493782,0.996222498962225,0.994058392140586
2.0000000000000003e-06,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,39155,0.5298473238945007,0.9098306210561276,0.9005803451269365,12,,,
,,,,39155,,,,12,0.011411062441766262,0.996969696969697,0.9951579724182483
2.0000000000000003e-06,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,42167,0.5496101975440979,0.9106609099966788,0.9014244371906148,13,,,
,,,,42167,,,,13,0.009173036552965641,0.9974678289746783,0.9960158664268264
2.0000000000000003e-06,0.0002,0.0002,0.0002,42168,,,,,,,
,,,,45179,0.5563561916351318,0.9108269677847891,0.9016276198143404,14,,,
,,,,45179,,,,14,0.008195078931748867,0.9976753839767538,0.9963617914302852
2.0000000000000004e-07,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,48191,0.5588207244873047,0.9104948522085686,0.9014296812816583,15,,,
,,,,48191,,,,15,0.0067910016514360905,0.9982772934827729,0.9972630413726313
2.0000000000000004e-07,2e-05,2e-05,2e-05,48192,,,,,,,
,,,,51203,0.5599860548973083,0.9104948522085686,0.9014319480021036,16,,,
,,,,51203,,,,16,0.006674144417047501,0.9984225819842258,0.9974300078409675
2.0000000000000004e-07,2e-05,2e-05,2e-05,51204,,,,,,,
,,,,54215,0.5611063241958618,0.9104948522085686,0.901433480320395,17,,,
,,,,54215,,,,17,0.0062944162636995316,0.9983395599833956,0.9973599003736001
2.0000000000000004e-07,2e-05,2e-05,2e-05,54216,,,,,,,
,,,,57227,0.562857985496521,0.910162736632348,0.90097976432049,18,,,
,,,,57227,,,,18,0.006667529698461294,0.9983603154836032,0.9973442184401095
2.0000000000000004e-07,2e-05,2e-05,2e-05,57228,,,,,,,
,,,,60239,0.5635830163955688,0.9106609099966788,0.9015544170850417,19,,,
,,,,60239,,,,19,0.005998717155307531,0.9985263594852636,0.9976467875098021
2.0000000000000004e-07,2e-05,2e-05,2e-05,60240,,,,,,,
,,,,63251,0.5656832456588745,0.9104948522085686,0.9012876590880775,20,,,
,,,,63251,,,,20,0.005996330641210079,0.998650892486509,0.9978183663115174
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,63252,,,,,,,
,,,,66263,0.5655052661895752,0.9104948522085686,0.9013242039641854,21,,,
,,,,66263,,,,21,0.005838858895003796,0.9985263594852636,0.9976763064434305
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,66264,,,,,,,
,,,,69275,0.5655834674835205,0.9104948522085686,0.9013242039641854,22,,,
,,,,69275,,,,22,0.005696859210729599,0.9987339144873392,0.9979724182463915
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,69276,,,,,,,
,,,,72287,0.5655627846717834,0.9106609099966788,0.9014959644617035,23,,,
,,,,72287,,,,23,0.005878375843167305,0.9986716479867165,0.997948434112818
