lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.4406273066997528,0.8764530056459648,0.8585372896665672,0,,,
,,,,3011,,,,0,0.6357583999633789,0.823177818362942,0.7330515257033908
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.35447776317596436,0.8927266688807705,0.8796053504894893,1,,,
,,,,6023,,,,1,0.34048014879226685,0.8953387016436991,0.8329126086208425
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.3698224723339081,0.8952175357024245,0.8848385715907173,2,,,
,,,,9035,,,,2,0.23058946430683136,0.9259090154408103,0.8791469906655093
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.3770797848701477,0.8948854201262039,0.8862540355069745,3,,,
,,,,12047,,,,3,0.1645984798669815,0.9441515855885771,0.9085953689867785
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.4144868552684784,0.8965459980073065,0.882219823598492,4,,,
,,,,15059,,,,4,0.12473586201667786,0.9562925452432343,0.927432735001631
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.3806162178516388,0.9028561939554965,0.8937752284763351,5,,,
,,,,18071,,,,5,0.10124707967042923,0.9648223476672755,0.941671072177458
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.4568033814430237,0.8992029226170707,0.8890595188693076,6,,,
,,,,21083,,,,6,0.0850415825843811,0.9718786319110078,0.9520951388284884
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.45602697134017944,0.9003653271338425,0.8911852410120372,7,,,
,,,,24095,,,,7,0.06293877959251404,0.9788934086003652,0.9646098655251031
2.0000000000000003e-06,0.0002,0.0002,0.0002,24096,,,,,,,
,,,,27107,0.46565374732017517,0.9096645632680173,0.901690778683769,8,,,
,,,,27107,,,,8,0.024784201756119728,0.9917399966793956,0.9859242941739195
2.0000000000000003e-06,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,30119,0.4828755855560303,0.9091663899036865,0.9003194540245465,9,,,
,,,,30119,,,,9,0.0141075998544693,0.9957247218993857,0.9926693705873499
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.49986663460731506,0.9109930255728994,0.9025166766278797,10,,,
,,,,33131,,,,10,0.011307657696306705,0.9968661796446954,0.9946288697558822
2.0000000000000003e-06,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,36143,0.5155047178268433,0.9085021587512454,0.9001412275345994,11,,,
,,,,36143,,,,11,0.008695151656866074,0.9971359787481322,0.9949657266193866
2.0000000000000003e-06,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,39155,0.5287331938743591,0.9091663899036865,0.9012500496510581,12,,,
,,,,39155,,,,12,0.007955621927976608,0.9978416071725054,0.9964614392623685
2.0000000000000003e-06,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,42167,0.5423361659049988,0.910162736632348,0.9019755951303002,13,,,
,,,,42167,,,,13,0.006085950881242752,0.9981114062759422,0.9967558222580634
2.0000000000000004e-07,2e-05,2e-05,2e-05,42168,,,,,,,
,,,,45179,0.5418457984924316,0.9099966788442378,0.9018450267773863,14,,,
,,,,45179,,,,14,0.005216187797486782,0.9987340195915657,0.997831065571394
2.0000000000000004e-07,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,48191,0.5427782535552979,0.909498505479907,0.901153978829987,15,,,
,,,,48191,,,,15,0.0048436918295919895,0.9986302507056284,0.9976594483053057
2.0000000000000004e-07,2e-05,2e-05,2e-05,48192,,,,,,,
,,,,51203,0.5426006317138672,0.9090003321155762,0.9006014210763236,16,,,
,,,,51203,,,,16,0.005278547760099173,0.9984019591565665,0.9972606331812702
2.0000000000000004e-07,2e-05,2e-05,2e-05,51204,,,,,,,
,,,,54215,0.5436742305755615,0.908834274327466,0.9008233018974957,17,,,
,,,,54215,,,,17,0.004686759784817696,0.9985264818196912,0.9974841810098322
2.0000000000000004e-07,2e-05,2e-05,2e-05,54216,,,,,,,
,,,,57227,0.5458901524543762,0.909498505479907,0.9013951933212084,18,,,
,,,,57227,,,,18,0.0046269940212368965,0.9986925120371908,0.9978039209485329
2.0000000000000004e-07,2e-05,2e-05,2e-05,57228,,,,,,,
,,,,60239,0.5467982888221741,0.9096645632680173,0.9016191191611984,19,,,
,,,,60239,,,,19,0.004179873503744602,0.9988585422546904,0.9980561287551153
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,60240,,,,,,,
,,,,63251,0.5471189022064209,0.9098306210561276,0.9017907221004807,20,,,
,,,,63251,,,,20,0.00434890016913414,0.9986925120371908,0.9977945125695413
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,63252,,,,,,,
,,,,66263,0.5470846891403198,0.9098306210561276,0.9017804467464101,21,,,
,,,,66263,,,,21,0.004049193579703569,0.9990660800265648,0.998424373235929
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,66264,,,,,,,
,,,,69275,0.5473788380622864,0.9096645632680173,0.9016429114108563,22,,,
,,,,69275,,,,22,0.004386567045003176,0.9988377884775029,0.9980786614274908
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,69276,,,,,,,
,,,,72287,0.5476685166358948,0.9093324476917968,0.9013486497764043,23,,,
,,,,72287,,,,23,0.0044119213707745075,0.9988792960318778,0.9980992966116653
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,72288,,,,,,,
,,,,75299,0.5477976202964783,0.909498505479907,0.9014713299865819,24,,,
,,,,75299,,,,24,0.004379133693873882,0.9988377884775029,0.997967052225727
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,75300,,,,,,,
,,,,78311,0.5478864312171936,0.9096645632680173,0.9015960600462081,25,,,
,,,,78311,,,,25,0.004310809541493654,0.9987340195915657,0.9978148051516802
