lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.40531712770462036,0.8834274327465959,0.8721159507292494,0,,,
,,,,3011,,,,0,0.5921632051467896,0.8310227461397974,0.7453641790062049
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.3567318618297577,0.8940551311856526,0.883324944804429,1,,,
,,,,6023,,,,1,0.31911036372184753,0.8984725219990038,0.8374919453725056
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.3521316945552826,0.8963799402191963,0.8846570921778895,2,,,
,,,,9035,,,,2,0.21411648392677307,0.928814544247053,0.8839439853257656
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.3433501124382019,0.901859847226835,0.8952232494471496,3,,,
,,,,12047,,,,3,0.1527102291584015,0.9462892246388843,0.9115408755317623
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.4070606231689453,0.899368980405181,0.8855803721887071,4,,,
,,,,15059,,,,4,0.11349713057279587,0.9599659638054125,0.93327824200182
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.37523117661476135,0.9075058120225838,0.9002793737735173,5,,,
,,,,18071,,,,5,0.0840471014380455,0.9709239581603852,0.9516235573080138
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.47428813576698303,0.8977084025240784,0.8884914626740352,6,,,
,,,,21083,,,,6,0.0698394700884819,0.97600863357131,0.959516266004248
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.4858321249485016,0.9011956160743939,0.8907196710528448,7,,,
,,,,24095,,,,7,0.05868411436676979,0.9795160219159887,0.9651556357595653
2e-05,0.002,0.002,0.002,24096,,,,,,,
,,,,27107,0.469497948884964,0.9030222517436067,0.895427913244102,8,,,
,,,,27107,,,,8,0.041005365550518036,0.9858666777353479,0.9758321539917065
2e-05,0.002,0.002,0.002,27108,,,,,,,
,,,,30119,0.5087229609489441,0.9023580205911658,0.890343430655833,9,,,
,,,,30119,,,,9,0.037670157849788666,0.9877345176822182,0.9788979612543423
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.48216235637664795,0.9104948522085686,0.9000514676515685,10,,,
,,,,33131,,,,10,0.011889585293829441,0.9963680889921965,0.993891932776209
