lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0,,,,,,,
,3011,0.4188401997089386,0.8668216539355695,0.8531338124833977,0,,,
,3011,,,,0,0.593600869178772,0.8277436493441807,0.7477224553210978
2e-05,3012,,,,,,,
,6023,0.30819937586784363,0.9028561939554965,0.8907868776090403,1,,,
,6023,,,,1,0.2607664465904236,0.9146189606508385,0.861730820152876
2e-05,6024,,,,,,,
,9035,0.3284370005130768,0.9041846562603786,0.8932476355732318,2,,,
,9035,,,,2,0.1607612520456314,0.9459364104266976,0.9111864542102727
2e-05,9036,,,,,,,
,12047,0.3449782133102417,0.9021919628030555,0.8910355268197491,3,,,
,12047,,,,3,0.10536567121744156,0.9641789805744646,0.9399430210772975
2e-05,12048,,,,,,,
,15059,0.3951190412044525,0.8997010959814016,0.8908055515426755,4,,,
,15059,,,,4,0.0709928348660469,0.9762784326747468,0.9600961723446313
2e-05,15060,,,,,,,
,18071,0.41146528720855713,0.9036864828960478,0.8911893406117443,5,,,
,18071,,,,5,0.046756990253925323,0.9838535613481654,0.9724352504113385
2e-05,18072,,,,,,,
,21083,0.43793225288391113,0.9036864828960478,0.893143967551523,6,,,
,21083,,,,6,0.03244857117533684,0.9902042171675245,0.9832250337550816
2e-05,21084,,,,,,,
,24095,0.4679260849952698,0.9001992693457324,0.8892252101454915,7,,,
,24095,,,,7,0.03001287579536438,0.9901004482815873,0.9832503226169148
2.0000000000000003e-06,24096,,,,,,,
,27107,0.44940778613090515,0.9060112919295915,0.8955351714103433,8,,,
,27107,,,,8,0.009393749758601189,0.9976133156234435,0.9959128894792184
2.0000000000000003e-06,27108,,,,,,,
,30119,0.4598008692264557,0.9046828296247094,0.8938639410212191,9,,,
,30119,,,,9,0.005253910087049007,0.9990245724721899,0.9984111171725312
2.0000000000000003e-06,30120,,,,,,,
,33131,0.46202921867370605,0.9071736964463634,0.8962694932160925,10,,,
,33131,,,,10,0.003853350644931197,0.9993566329071891,0.9989119749953218
2.0000000000000003e-06,33132,,,,,,,
,36143,0.46466025710105896,0.9068415808701428,0.8965268213852106,11,,,
,36143,,,,11,0.003261703997850418,0.9995226631246887,0.999236392769516
2.0000000000000003e-06,36144,,,,,,,
,39155,0.4705430269241333,0.9060112919295915,0.8958009894799966,12,,,
,39155,,,,12,0.00262252613902092,0.9997094471193757,0.9995148228088623
2.0000000000000003e-06,39156,,,,,,,
,42167,0.47568804025650024,0.9065094652939223,0.896253767768536,13,,,
,42167,,,,13,0.0022478445898741484,0.9998132160053129,0.9996881003771257
2.0000000000000004e-07,42168,,,,,,,
,45179,0.47544580698013306,0.9065094652939223,0.8963839110086179,14,,,
,45179,,,,14,0.0020818670745939016,0.9998132160053129,0.9996610875242786
2.0000000000000004e-07,45180,,,,,,,
,48191,0.47618329524993896,0.906343407505812,0.8962025784524017,15,,,
,48191,,,,15,0.0020888878498226404,0.9997302008965632,0.9995063895279737
2.0000000000000004e-07,48192,,,,,,,
,51203,0.47645634412765503,0.9065094652939223,0.8963655708945689,16,,,
,51203,,,,16,0.0021785779390484095,0.9997302008965632,0.9995227290096955
2.0000000000000004e-07,51204,,,,,,,
,54215,0.47694188356399536,0.9060112919295915,0.8957827009283005,17,,,
,54215,,,,17,0.0018999454332515597,0.9998339697825004,0.9996891018292312
2.0000000000000004e-07,54216,,,,,,,
,57227,0.4772479236125946,0.9061773497177018,0.8957158819987249,18,,,
,57227,,,,18,0.0021312138997018337,0.9997924622281256,0.9996376324618065
2.0000000000000004e-07,57228,,,,,,,
,60239,0.4779454171657562,0.9056791763533709,0.8949898166041862,19,,,
,60239,,,,19,0.0020100167021155357,0.9998547235596879,0.9997908282799534
2.0000000000000007e-08,60240,,,,,,,
,63251,0.47799062728881836,0.9056791763533709,0.8949898166041862,20,,,
,63251,,,,20,0.001910067512653768,0.9998754773368753,0.9997740144261811
2.0000000000000007e-08,63252,,,,,,,
,66263,0.47796568274497986,0.9056791763533709,0.8949898166041862,21,,,
,66263,,,,21,0.001848506974056363,0.9998547235596879,0.9997680847755562
2.0000000000000007e-08,66264,,,,,,,
,69275,0.477957159280777,0.9056791763533709,0.8949898166041862,22,,,
,69275,,,,22,0.0019089067354798317,0.9998547235596879,0.9997219652706952
2.0000000000000007e-08,69276,,,,,,,
,72287,0.47792506217956543,0.9056791763533709,0.8949898166041862,23,,,
,72287,,,,23,0.0018279807409271598,0.9998754773368753,0.9997595197246533
2.0000000000000007e-08,72288,,,,,,,
,75299,0.4779074788093567,0.9056791763533709,0.8949951681009912,24,,,
,75299,,,,24,0.001974468119442463,0.9998547235596879,0.9997852148773617
2.0000000000000007e-08,75300,,,,,,,
,78311,0.4779202938079834,0.9056791763533709,0.8949898166041862,25,,,
,78311,,,,25,0.001763211446814239,0.9998547235596879,0.9997396224525561
2.000000000000001e-09,78312,,,,,,,
,81323,0.4778667390346527,0.9056791763533709,0.8949951681009912,26,,,
,81323,,,,26,0.0019544244278222322,0.9997717084509381,0.9996283558528287
