lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0,,,,,,,
,3011,0.46154484152793884,0.8731318712234497,0.24766479432582855,0,,,
,3011,,,,0,0.7617102265357971,0.7982357740402222,0.2236066460609436
2e-05,3012,,,,,,,
,6023,0.37670740485191345,0.8872467875480652,0.25265729427337646,1,,,
,6023,,,,1,0.3652213215827942,0.8938148617744446,0.2532600462436676
2e-05,6024,,,,,,,
,9035,0.37917354702949524,0.8928927183151245,0.25375601649284363,2,,,
,9035,,,,2,0.2537270784378052,0.9231216311454773,0.26178449392318726
2e-05,9036,,,,,,,
,12047,0.3628738224506378,0.9006974697113037,0.2563645839691162,3,,,
,12047,,,,3,0.18640880286693573,0.9411789178848267,0.26729533076286316
2e-05,12048,,,,,,,
,15059,0.3820197880268097,0.9013616442680359,0.25689011812210083,4,,,
,15059,,,,4,0.15029878914356232,0.9521170854568481,0.270856112241745
2e-05,15060,,,,,,,
,18071,0.3701575994491577,0.9021919369697571,0.25698643922805786,5,,,
,18071,,,,5,0.11272266507148743,0.9639684557914734,0.2746017575263977
2e-05,18072,,,,,,,
,21083,0.45510873198509216,0.8963799476623535,0.255032479763031,6,,,
,21083,,,,6,0.08575057238340378,0.9726442694664001,0.2762949466705322
2e-05,21084,,,,,,,
,24095,0.4239653944969177,0.9003653526306152,0.25639840960502625,7,,,
,24095,,,,7,0.06966003030538559,0.9776255488395691,0.27810436487197876
2e-05,24096,,,,,,,
,27107,0.4215911030769348,0.9043506979942322,0.2574630379676819,8,,,
,27107,,,,8,0.054741039872169495,0.9833333492279053,0.2792404294013977
2e-05,27108,,,,,,,
,30119,0.4691786468029022,0.9051809906959534,0.2577452063560486,9,,,
,30119,,,,9,0.04405403509736061,0.9872146248817444,0.28092893958091736
2.0000000000000003e-06,30120,,,,,,,
,33131,0.45539069175720215,0.9083361029624939,0.25890594720840454,10,,,
,33131,,,,10,0.02018188126385212,0.9947488307952881,0.2833063006401062
2.0000000000000003e-06,33132,,,,,,,
,36143,0.46320775151252747,0.9091663956642151,0.2591789960861206,11,,,
,36143,,,,11,0.014917307533323765,0.9966791272163391,0.2842610776424408
2.0000000000000003e-06,36144,,,,,,,
,39155,0.47090527415275574,0.9094985127449036,0.2592518925666809,12,,,
,39155,,,,12,0.013013831339776516,0.9973433017730713,0.28450384736061096
2.0000000000000003e-06,39156,,,,,,,
,42167,0.4753873944282532,0.9093324542045593,0.25930532813072205,13,,,
,42167,,,,13,0.011356213130056858,0.9975923895835876,0.2850620746612549
2.0000000000000003e-06,42168,,,,,,,
,45179,0.4811547100543976,0.9081700444221497,0.258899450302124,14,,,
,45179,,,,14,0.0102711645886302,0.9978829622268677,0.28407764434814453
2.0000000000000003e-06,45180,,,,,,,
,48191,0.4860621392726898,0.9080039858818054,0.25877946615219116,15,,,
,48191,,,,15,0.009804325178265572,0.997965931892395,0.28498291969299316
2.0000000000000004e-07,48192,,,,,,,
,51203,0.48442888259887695,0.9086682200431824,0.2590377926826477,16,,,
,51203,,,,16,0.008876091800630093,0.9983187913894653,0.28403395414352417
2.0000000000000004e-07,51204,,,,,,,
,54215,0.48399093747138977,0.9090003371238708,0.2591761648654938,17,,,
,54215,,,,17,0.008238257840275764,0.9985471367835999,0.2842612564563751
2.0000000000000004e-07,54216,,,,,,,
,57227,0.4845307469367981,0.9090003371238708,0.25917622447013855,18,,,
,57227,,,,18,0.008587286807596684,0.9984018206596375,0.28426873683929443
2.0000000000000004e-07,57228,,,,,,,
,60239,0.48404696583747864,0.9094985127449036,0.2593422830104828,19,,,
,60239,,,,19,0.008470330387353897,0.9984433650970459,0.28601497411727905
2.0000000000000004e-07,60240,,,,,,,
,63251,0.483718603849411,0.9099966883659363,0.2594142258167267,20,,,
,63251,,,,20,0.008326752111315727,0.9984848499298096,0.2846114933490753
2.0000000000000004e-07,63252,,,,,,,
,66263,0.48456233739852905,0.9096645712852478,0.25940316915512085,21,,,
,66263,,,,21,0.008607101626694202,0.9985055923461914,0.28472432494163513
2.0000000000000007e-08,66264,,,,,,,
,69275,0.4845598340034485,0.9094985127449036,0.25929245352745056,22,,,
,69275,,,,22,0.008164427243173122,0.9985678791999817,0.2851896584033966
2.0000000000000007e-08,69276,,,,,,,
,72287,0.4845804274082184,0.9094985127449036,0.25929245352745056,23,,,
,72287,,,,23,0.008192022331058979,0.9986509084701538,0.28426051139831543
2.0000000000000007e-08,72288,,,,,,,
,75299,0.48460519313812256,0.9094985127449036,0.25931090116500854,24,,,
,75299,,,,24,0.008384143933653831,0.9985055923461914,0.28519225120544434
