lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0,,,,,,,
,3011,1.7907415628433228,0.5285619395549651,0.4225126063762452,0,,,
,3011,,,,0,2.461890697479248,0.29895816038519013,0.1993201087330436
2e-05,3012,,,,,,,
,6023,1.3030261993408203,0.6426436399867154,0.5420718232720371,1,,,
,6023,,,,1,1.5913348197937012,0.5545824340029886,0.4159363331198696
2e-05,6024,,,,,,,
,9035,1.0940288305282593,0.6927930919960146,0.6107558753095857,2,,,
,9035,,,,2,1.266398549079895,0.6383654325087166,0.5030669139289127
2e-05,9036,,,,,,,
,12047,0.9665513038635254,0.7236798405845234,0.6474708342960235,3,,,
,12047,,,,3,1.1046674251556396,0.68298605346173,0.5535105611520507
2e-05,12048,,,,,,,
,15059,0.891945481300354,0.7454334108269678,0.6751219975504363,4,,,
,15059,,,,4,0.9912050366401672,0.7139506890254026,0.5890693320615917
2e-05,15060,,,,,,,
,18071,0.8390411734580994,0.7603786117568914,0.6929165980394192,5,,,
,18071,,,,5,0.9112135767936707,0.7343101444462892,0.6139655261732025
2e-05,18072,,,,,,,
,21083,0.7758533954620361,0.7741614081700432,0.7178673777799552,6,,,
,21083,,,,6,0.8467874526977539,0.7521376390503072,0.6343320715360757
2e-05,21084,,,,,,,
,24095,0.7478437423706055,0.7877781467950847,0.7406177896127262,7,,,
,24095,,,,7,0.8006472587585449,0.7635314627262162,0.6510845444706816
2e-05,24096,,,,,,,
,27107,0.7117608785629272,0.7934241115908336,0.7498663463932985,8,,,
,27107,,,,8,0.7579458951950073,0.776585588577121,0.6671212372707339
2e-05,27108,,,,,,,
,30119,0.6866731643676758,0.8040518100298905,0.7609364285504604,9,,,
,30119,,,,9,0.7188717126846313,0.7878963971442803,0.6812051193822997
2e-05,30120,,,,,,,
,33131,0.6722902059555054,0.8055463301228828,0.7638235360568135,10,,,
,33131,,,,10,0.6909253001213074,0.7946206209530134,0.6914858524832901
2e-05,33132,,,,,,,
,36143,0.6484479904174805,0.8065426768515443,0.7645900037212208,11,,,
,36143,,,,11,0.6629987359046936,0.801033538103935,0.6993314055292644
2e-05,36144,,,,,,,
,39155,0.6402537226676941,0.8145134506808369,0.7792552184860263,12,,,
,39155,,,,12,0.6366155743598938,0.8086086667773534,0.7092620019799233
2e-05,39156,,,,,,,
,42167,0.6188880205154419,0.8193291265360345,0.7834903682648858,13,,,
,42167,,,,13,0.6155085563659668,0.8155819359123361,0.7179692269728745
2e-05,42168,,,,,,,
,45179,0.6065831184387207,0.8209897044171371,0.7878702966184125,14,,,
,45179,,,,14,0.5938193202018738,0.819981736676075,0.7240082058049543
2e-05,45180,,,,,,,
,48191,0.5931603908538818,0.825971438060445,0.7916857344869905,15,,,
,48191,,,,15,0.5752320289611816,0.8253362111904367,0.7314870635585353
2e-05,48192,,,,,,,
,51203,0.5845787525177002,0.8264696114247758,0.7948144815970494,16,,,
,51203,,,,16,0.5567710995674133,0.8311680225801096,0.7405707288441384
2e-05,51204,,,,,,,
,54215,0.5773347020149231,0.8271338425772169,0.7961952842211216,17,,,
,54215,,,,17,0.5400345325469971,0.8360451602191599,0.745536276628406
2e-05,54216,,,,,,,
,57227,0.5620829463005066,0.8319495184324145,0.8036743099098372,18,,,
,57227,,,,18,0.5284119248390198,0.8385356134816536,0.7506504124532679
2e-05,57228,,,,,,,
,60239,0.5556564331054688,0.8354367319827299,0.804515590382998,19,,,
,60239,,,,19,0.5099039673805237,0.8448862693010127,0.7579336442445774
2e-05,60240,,,,,,,
,63251,0.5485653281211853,0.8410826967784789,0.8122853465683377,20,,,
,63251,,,,20,0.49861130118370056,0.8472521999003819,0.7632516527524981
2e-05,63252,,,,,,,
,66263,0.5387395620346069,0.8419129857190302,0.8160672766909686,21,,,
,66263,,,,21,0.4866245985031128,0.8498464220488129,0.765777440995478
2e-05,66264,,,,,,,
,69275,0.5476863980293274,0.838591829956825,0.8094841669233152,22,,,
,69275,,,,22,0.4730340540409088,0.853602855719741,0.7704996538099464
2e-05,69276,,,,,,,
,72287,0.5381086468696594,0.8434075058120226,0.811731736156696,23,,,
,72287,,,,23,0.4600223898887634,0.8585630084675411,0.7779993677663337
2e-05,72288,,,,,,,
,75299,0.5324891209602356,0.8419129857190302,0.8161034072402145,24,,,
,75299,,,,24,0.4515909254550934,0.8599535115391002,0.7813115650183087
