lr-AdamW,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
0.0002,0,,,,,,,
,3011,0.8680412173271179,0.7670209232813019,0.7074982071208614,0,,,
,3011,,,,0,1.3657476902008057,0.6002614975925619,0.47696121137681924
0.0002,3012,,,,,,,
,6023,0.6629781723022461,0.8125207572235138,0.7747651569356385,1,,,
,6023,,,,1,0.7538460493087769,0.7803835298024241,0.6715854927027087
0.0002,6024,,,,,,,
,9035,0.5901246070861816,0.8256393224842246,0.7925891065690184,2,,,
,9035,,,,2,0.6058845520019531,0.8181138967292048,0.7214903415669011
0.0002,9036,,,,,,,
,12047,0.5416945219039917,0.8419129857190302,0.8108089831729975,3,,,
,12047,,,,3,0.5102763772010803,0.8430184293541425,0.7562502197450425
0.0002,12048,,,,,,,
,15059,0.5334489345550537,0.8495516439721023,0.8276665789528953,4,,,
,15059,,,,4,0.44664281606674194,0.8611157230615972,0.7827396371469106
0.0002,15060,,,,,,,
,18071,0.5147083401679993,0.8505479907007638,0.8303066159575865,5,,,
,18071,,,,5,0.3959817588329315,0.8747302008965632,0.8017818858205094
0.0002,18072,,,,,,,
,21083,0.5139062404632568,0.8543673198272999,0.8358936488154293,6,,,
,21083,,,,6,0.35454270243644714,0.8874315125352814,0.8197819200565764
0.0002,21084,,,,,,,
,24095,0.4996976852416992,0.8603454001992693,0.8417557113813309,7,,,
,24095,,,,7,0.3195362389087677,0.8974970944711937,0.8356240908795964
0.0002,24096,,,,,,,
,27107,0.5379025936126709,0.8517103952175357,0.8288867654564572,8,,,
,27107,,,,8,0.2871568202972412,0.9066910177652333,0.8499374398186057
0.0002,27108,,,,,,,
,30119,0.5190836787223816,0.859515111258718,0.8410814551995944,9,,,
,30119,,,,9,0.2608455419540405,0.9148264984227129,0.8622506833758313
0.0002,30120,,,,,,,
,33131,0.5242322683334351,0.8586848223181667,0.8331433484720838,10,,,
,33131,,,,10,0.23989258706569672,0.9201809729370746,0.8698451062881405
0.0002,33132,,,,,,,
,36143,0.5434019565582275,0.8576884755895051,0.8382776625817808,11,,,
,36143,,,,11,0.21789434552192688,0.9276523327245558,0.8823878607519242
0.0002,36144,,,,,,,
,39155,0.5622208714485168,0.859515111258718,0.839473767793801,12,,,
,39155,,,,12,0.1991025060415268,0.9335879130001661,0.8908217088222834
0.0002,39156,,,,,,,
,42167,0.5798488855361938,0.8528727997343075,0.8320498389363727,13,,,
,42167,,,,13,0.18869997560977936,0.9360783662626598,0.8949044369062814
2e-05,42168,,,,,,,
,45179,0.5104636549949646,0.8699767519096646,0.8532718721592815,14,,,
,45179,,,,14,0.1282937377691269,0.9579528474182302,0.9302988016834898
2e-05,45180,,,,,,,
,48191,0.5207359790802002,0.8694785785453337,0.8531551887919079,15,,,
,48191,,,,15,0.11483603715896606,0.9620620953013449,0.9359760065172588
2e-05,48192,,,,,,,
,51203,0.5388213992118835,0.8694785785453337,0.8542864377716723,16,,,
